title,pub_status,pub_type,parc_status,parc_number,lib_status,pub_location,data_link,reference,publication_year,author,journal_title,doi,Abstract,Keywords,importance,comments,PDF_in_Drive
Impacts Of Seabirds On Plant And Soil Properties,PUBLISHED,,ASSIGNED,PARC-0043,UPLOADED,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0005,-,"Mulder, C.P.H., H. Jones, K. Kameda, C. Palmborg, S. Schmidt, J. Ellis, J. L. Orrock, A. Wait, D. A. Wardle, L. Yang, H. Young, D. Croll, and E. Vidal 2011. Impacts of seabirds on plant and soil properties. In: C.P. Mulder, W.B. Anderson, D. Towns, and P. Bellingham (Eds) Seabird Islands: Ecology, Invasion and Restoration. Oxford University Press. {PARC-0043}",2011,"Mulder, C. P. H.; Jones, H.; Kameda, K.; Palmborg, C.; Schmidt, S.; Ellis, J.; Orrock, J. L.; Wait, A.; Wardle, D. A.; Yang, L.; Young, H.; Croll, D.; Vidal, E.","Seabird islands: ecology, invasion, and restoration",NA,,,,Chapter from a book,
Modeling Patterns Of Coral Bleaching At A Remote Central Pacific Atoll,PUBLISHED,,ASSIGNED,PARC-0044,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2010.05.009,-,"Williams, G.J., I.S. Knapp, J.E. Maragos and S.K. Davy 2010. Modeling patterns of coral bleaching at a remote Central Pacific atoll. Marine Pollution Bulletin 60:1467-1476. {PARC-0044}",2010,"Williams, Gareth J.; Knapp, Ingrid S.; Maragos, James E.; Davy, Simon K.",Marine Pollution Bulletin,10.1016/j.marpolbul.2010.05.009,"A mild bleaching event (9.2% prevalence) at Palmyra Atoll occurred in response to the 2009 ENSO, when mean water temperature reached 29.8–30.1 °C. Prevalence among both abundant and sparse taxa varied with no clear pattern in susceptibility relating to coral morphology. Seven taxon-specific models showed that turbidity exacerbated while prior exposure to higher background temperatures alleviated bleaching, with these predictors explaining an average 16.3% and 11.5% variation in prevalence patterns, respectively. Positive associations occurred between bleaching prevalence and both immediate temperature during the bleaching event (average 8.4% variation explained) and increased sand cover (average 3.7%). Despite these associations, mean unexplained variation in prevalence equalled 59%. Lower bleaching prevalence in areas experiencing higher background temperatures suggests acclimation to temperature stress among several coral genera, while WWII modifications may still be impacting the reefs via shoreline sediment re-distribution and increased turbidity, exacerbating coral bleaching susceptibility during periods of high temperature stress.","Modeling coral bleaching, 2009 ENSO, Temperature, Turbidity, Sand cover, Palmyra Atoll",,-,
Spatial Patterns Of The Structure Of Reef Fish Assemblages At A Pristine Atoll In The Central Pacific,PUBLISHED,,ASSIGNED,PARC-0046,UPLOADED,https://doi.org/10.3354/meps08634,-,"Friedlander, A.M., S.A. Sandin, E.E. DeMartini and E. Sala 2010. Spatial patterns of the structure of reef fish assemblages at a pristine atoll in the central Pacific. Marine Ecology Progress Series 410:219-231{PARC-0046}",2010,"Friedlander, Am; Sandin, Sa; DeMartini, Ee; Sala, E",Marine Ecology Progress Series,10.3354/meps08634,,,,Library info not verified,
Field Evidence For Pervasive Indirect Effects Of Fishing On Prey Foraging Behavior,PUBLISHED,,ASSIGNED,PARC-0047,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/21302828,https://www.ncbi.nlm.nih.gov/pubmed/21302828,"Madin, E.M.P., S.D. Gaines and R.R. Warner 2010. Field evidence for pervasive indirect effects of fishing on prey foraging behavior. Ecology 91(12):3563-3571 {PARC-0047}",2010,"Madin, Elizabeth MP; Gaines, Steven D; Warner, Robert R",Ecology,10.1890/09-2174.1,,,,Some supplementary information available,
Uranium-Series Dating And Growth Characteristics Of The Deep-Sea Scleractinian Coral: Enallopsammia Rostrata From The Equatorial Pacific,PUBLISHED,,ASSIGNED,PARC-0048,UPLOADED,http://dx.doi.org/10.1016/j.gca.2010.01.017,-,"Houlbr√®que, F., M. McCulloch, B. Roark, T. Guilderson, A. Meibom, J. Kimball, G. Mortimer, J.-P. Cuif and R. Dunbar 2010. Uranium-series dating and growth characteristics of the deep-sea scleractinian coral: Enallopsammia rostrata from the Equatorial Pacific. Geochimica et Cosmochimica Acta, 74:2380-2395 {PARC-0048}",2010,"Houlbr√®que, Fanny; McCulloch, Malcolm; Roark, Brendan; Guilderson, Tom; Meibom, Anders; Kimball, Justine; Mortimer, Graham; Cuif, Jean-Pierre; Dunbar, Robert",Geochimica et Cosmochimica Acta,10.1016/j.gca.2010.01.017,,,,Some supporting information available,
Late 20th Century Warming And Freshening In The Central Tropical Pacific,PUBLISHED,,ASSIGNED,PARC-0049,UPLOADED,https://doi.org/doi:10.1029/2009GLO40270,-,"Nurhati, I.S., K.M. Cobb, C.D. Charles and R. B. Dunbar 2009. Late 20th century warming and freshening in the central tropical Pacific. Geophysical Research Letters, 36, L21606, doi: 10.1029/2009GLO40270. {PARC-0049}",2009,"Nurhati, Intan S.; Cobb, Kim M.; Charles, Christopher D.; Dunbar, Robert B.",Geophysical Research Letters,10.1029/2009GL040270,,,,-,
Acute Effects Of Removing Large Fish From A Near-Pristine Coral Reef,PUBLISHED,,ASSIGNED,PARC-0050,UPLOADED,http://link.springer.com/10.1007/s00227-010-1533-2,-,"McCauley, D.J., F. Micheli, H.S. Young, D.P. Tittensor, D.R. Brumbaugh, E.M.P. Madin, K.E. Holmes, J.E. Smith, H.K. Lotze, P.A. de Salles, S.N. Arnold and B. Worm 2010. Acute effects of removing large fish from a near-pristine coral reef. Marine Biology 157:2739-2750. {PARC-0050}",2010,"McCauley, Douglas J.; Micheli, Fiorenza; Young, Hillary S.; Tittensor, Derek P.; Brumbaugh, Daniel R.; Madin, Elizabeth M. P.; Holmes, Katherine E.; Smith, Jennifer E.; Lotze, Heike K.; DeSalles, Paul A.; Arnold, Suzanne N.; Worm, Boris",Marine Biology,10.1007/s00227-010-1533-2,,,,Supplemental data not found,
Niche Partitioning Among And Within Sympatric Tropical Seabirds Revealed By Stable Isotope Analysis,PUBLISHED,,ASSIGNED,PARC-0051,UPLOADED,https://doi.org/10.3354/meps08756,-,"Young, H.S., D.J. McCauley, R. Dirzo, R.B. Dunbar and S.A. Shaffer 2010. Niche partitioning among and within sympatric tropical seabirds revealed by stable isotope analysis. Marine Ecology Progress Series 416:285-294 {PARC-0051}",2010,"Young, Hs; McCauley, Dj; Dirzo, R; Dunbar, Rb; Shaffer, Sa",Marine Ecology Progress Series,10.3354/meps08756,,,,-,
Biosecurity Plan For Palmyra Atoll,PUBLISHED,Report,ASSIGNED,PARC-0054,UPLOADED,https://pubs.usgs.gov/of/2010/1097/,-,"Hathaway, S.A. and R.N. Fisher 2010. Biosecurity Plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2010-1097 {PARC-0054}",2010,"Hathaway, Stacie A; Fisher, Robert N",USGS,NA,,,,-,
Coral Disease And The Environment In The Pacific Ocean,DISSERTATION,PhD Thesis,ASSIGNED,PARC-0055,UPLOADED,http://researcharchive.vuw.ac.nz/handle/10063/1564,-,"Williams, G.J. 2010. Coral disease and the environment in the Pacific Ocean. Ph.D. Dissertation, School of Biological Sciences, Victoria University of Wellington, New Zealand {PARC-0055}",2010,"Williams, Gareth John",Thesis,NA,,,,"Published 2010, no exact date | Contains a pdf of ""Williams, Gareth J., et al. ‚ÄúModeling Patterns of Coral Bleaching at a Remote Central Pacific Atoll.‚Äù Marine Pollution Bulletin, vol. 60, no. 9, Sept. 2010, pp. 1467‚Äì76. DOI.org (Crossref), doi:10.1016/j.marpolbul.2010.05.009."", ""Williams, Gareth J., et al. ‚ÄúPredictive Modeling of Coral Disease Distribution within a Reef System.‚Äù PLoS One, vol. 5, no. 2, Feb. 2010, p. e9264, doi:10.1371/journal.pone.0009264. 20174663."", ""Williams, Gareth J., et al. ‚ÄúGross and Microscopic Morphology of Lesions in Cnidaria from Palmyra Atoll, Central Pacific.‚Äù Journal of Invertebrate Pathology, vol. 106, no. 2, Feb. 2011, pp. 165‚Äì73. DOI.org (Crossref), doi:10.1016/j.jip.2010.08.002."", ""Aeby, Greta S., et al. ‚ÄúGrowth Anomalies on the Coral Genera Acropora and Porites Are Strongly Associated with Host Density and Human Population Size across the Indo-Pacific.‚Äù PLoS ONE, edited by Christian Voolstra, vol. 6, no. 2, Feb. 2011, p. e16887. DOI.org (Crossref), doi:10.1371/journal.pone.0016887."", ""Williams, G. J., et al. ‚ÄúCoral Disease at Palmyra Atoll, a Remote Reef System in the Central Pacific.‚Äù Coral Reefs, vol. 27, no. 1, Mar. 2008, pp. 207‚Äì207. DOI.org (Crossref), doi:10.1007/s00338-007-0314-y.""",
"The Atmospheric Lead Record Preserved In Lagoon Sediments At A Remote Equatorial Pacific Location: Palmyra Atoll, Northern Line Islands",PUBLISHED,,ASSIGNED,PARC-0056,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2010.11.004,-,"Collen, J.D., J.A. Baker , R.B. Dunbar, U. Rieser, J.P. Gardner, D.W. Garton and K.J. Christiansen 2011. The atmospheric lead record preserved in lagoon sediments at a remote equatorial Pacific location: Palmyra Atoll, northern Line Islands. Marine Pollution Bulletin 62:251-257 {PARC-0056}",2011,"Collen, John D.; Baker, Joel A.; Dunbar, Robert B.; Rieser, Uwe; Gardner, Jonathan P.; Garton, David W.; Christiansen, Kylie J.",Marine Pollution Bulletin,10.1016/j.marpolbul.2010.11.004,,,,Management report,
Terrestrial Forest Management Plan For Palmyra Atoll,PUBLISHED,Report,ASSIGNED,PARC-0058,UPLOADED,https://pubs.er.usgs.gov/publication/ofr20111007,-,"Hathaway, S.A., K. McEachern and R.N. Fisher 2011. Terrestrial forest management plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2011-1007 {PARC-0058}",2011,"Hathaway, Stacie A; McEachern, Kathryn; Fisher, Robert N",USGS,https://doi.org/10.3133/ofr20111007 ,,,,Library info not verified,
Pacific Coral Reefs: An Introduction,PUBLISHED,,ASSIGNED,PARC-0059,UPLOADED,https://link.springer.com/referencework/10.1007%2F978-90-481-2639-2,-,"Maragos, J.E. and G.J. Williams 2011. Pacific Coral Reefs: An Introduction, In: D. Hopley (Ed.) Encyclopedia of Modern Coral Reefs: Structure, Form and Process. Springer-Verlag {PARC-0059}",2011,"Maragos, James E; Williams, Gareth J","Encyclopedia of Modern Coral Reefs: Structure, Form and Process",NA,,,,Book,
"Gross And Microscopic Morphology Of Lesions In Cnidaria From Palmyra Atoll, Central Pacific",PUBLISHED,,ASSIGNED,PARC-0061,UPLOADED,http://dx.doi.org/10.1016/j.jip.2010.08.002,-,"Williams, G.J., T.M. Work, G.S. Aeby, I.S. Knapp and S.K. Davy 2011. Gross and microscopic morphology of lesions in Cnidaria from Palmyra Atoll, Central Pacific. Journal of Invertebrate Pathology 106:165-173 {PARC-0061}",2011,"Williams, Gareth J.; Work, Thierry M.; Aeby, Greta S.; Knapp, Ingrid S.; Davy, Simon K.",Journal of Invertebrate Pathology,10.1016/j.jip.2010.08.002,,,,-,
Growth Anomalies On The Coral Genera Acropora And Porites Are Strongly Associated With Host Density And Human Population Size Across The Indo-Pacific,PUBLISHED,,ASSIGNED,PARC-0063,UPLOADED,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,"Aeby, G.S., G.J. Williams, E.C. Franklin, J. Haapkyla, C.D. Harvell, S. Neale, C.A. Page, L. Raymundo, B. Vargas-Angel, B. Willis, T.M. Work and S.K. Davy 2011. Growth anomalies on the coral genera Acropora and Porites are strongly associated with host density and human population size across the Indo-Pacific. PLoS One 6(2):1-9 {PARC-0063}",2011,"Aeby, Greta S.; Williams, Gareth J.; Franklin, Erik C.; Haapkyla, Jessica; Harvell, C. Drew; Neale, Stephen; Page, Cathie A.; Raymundo, Laurie; Vargas-√Ångel, Bernardo; Willis, Bette L.; Work, Thierry M.; Davy, Simon K.",PLoS ONE,10.1371/journal.pone.0016887,,,,Data collected by authors and sourced from outside institutions/groups - supporting information accessible via plosone link,
Radiocarbon And Stable Isotopes In Palmyra Corals During The Past Century,PUBLISHED,,ASSIGNED,PARC-0064,UPLOADED,http://dx.doi.org/10.1016/j.gca.2010.11.028,-,"Druffel-Rodriguez, K.C., D. Vetter, S.M. Griffin, E.R.M. Druffel, R.B. Dunbar, D.A. Mucciarone, L.A. Ziolkowski and J.A. Sanchez Cabeza. (In Press) Radiocarbon and stable isotopes in Palmyra corals during the past century. Geochimica et Cosmochimica Acta {PARC-0064}",2012,"Druffel-Rodriguez, Kevin C.; Vetter, Desiree; Griffin, Sheila; Druffel, Ellen R.M.; Dunbar, Robert B.; Mucciarone, David A.; Ziolkowski, Lori A.; Sanchez-Cabeza, Joan-Albert",Geochimica et Cosmochimica Acta,10.1016/j.gca.2010.11.028,,,,Library info not verified,
Decadal Timescale Shift In The 14c Record Of A Central Equatorial Pacific Coral,PUBLISHED,,ASSIGNED,PARC-0065,UPLOADED,https://www.cambridge.org/core/journals/radiocarbon/article/decadal-timescale-shift-in-the-14c-record-of-a-central-equatorial-pacific-coral/731955FE06B5399EBE85E44652260162,-,"Grottoli, A., S.T. Gille, E.R.M. Druffel, and R.B. Dunbar 2003. Decadal timescale shift in the 14C record of a central equatorial Pacific coral. Radiocarbon 45: 11-20 {PARC-0065}",2003,"Grottoli, A G; Gille, S T; Druffel, E R M; Dunbar, R B",Radiocarbon,10.1017/S0033822200032422,,,,-,
Extreme Longevity In Proteinaceous Deep-Sea Corals,PUBLISHED,,ASSIGNED,PARC-0066,UPLOADED,http://www.pnas.orgcgidoi10.1073pnas.0810875106%20roa/,www.pnas.org/cgi/content/full/ 0810875106/DCSupplemental,"Roark, E.B., T.P. Guilderson, R.B. Dunbar, S.J. Fallon, G. Shester and D.A. Mucciarone 2008. Extreme longevity in proteinaceous deep-sea corals. Proceedings of the National Academy of Sciences of the USA 106: 5204-5208. {PARC-0066}",2009,"Roark, E. B.; Guilderson, T. P.; Dunbar, R. B.; Fallon, S. J.; Mucciarone, D. A.",Proceedings of the National Academy of Sciences,10.1073/pnas.0810875106,,,Not related to Palmyra; Robert B. Dunbar is a PARC collaborator,Some information available at supplementary link,
Differential Responses To Guano Fertilization Among Tropical Tree Species With Varying Functional Traits,PUBLISHED,,ASSIGNED,PARC-0068,UPLOADED,http://doi.org/10.3732/ajb.1000159,-,"Young, H.S., D.J. McCauley and R. Dirzo 2011. Differential responses to guano fertilization among tropical tree species with varying functional traits. Amercan Journal of Botany 98(2):1-8 {PARC-0068}",2011,"Young, Hillary S; McCauley, Douglas J; Dirzo, Rodolfo",American journal of botany,10.3732/ajb.1000159,,,,-,
"Examination Of Algal Diversity And Benthic Community Structure At Palmyra Atoll, U.s. Line Islands",PUBLISHED,Symposium,ASSIGNED,PARC-0069,UPLOADED,https://www.researchgate.net/publication/250306623,-,"Braun, C.L., J.E. Smith and P.S. Vroom 2008. Examination of algal diversity and benthic community structure at Palmyra Atoll, U.S. Line Islands. Proceedings of the 11th International Coral Reef Symposium, Fort Lauderdale, FL, 7-11, 2008. {PARC-0069}",2008,"Braun, C L; Smith, J E; Vroom, P S",Proceedings of the XIth International Coral Reef Symposium.,NA,,,,"Unconfirmed link, needs a link in Zotero as well",
"Outbreak Of Acropora White Syndrome Following A Mild Bleaching Event At Palmyra Atoll, Northern Line Islands, Central Pacific",PUBLISHED,,ASSIGNED,PARC-0072,UPLOADED,https://doi.org/10.1007/s00338-011-0762-2,-,"Williams, G.J., I.S. Knapp, T.M. Work, E.J. Conklin (In Press) Outbreak of Acropora white syndrome following a mild bleaching event at Palmyra Atoll, Northern Line Islands, Central Pacific. Coral Reefs 30:621 {PARC-0072}",2011,"Williams, G. J.; Knapp, I. S.; Work, T. M.; Conklin, E. J.",Coral Reefs,10.1007/s00338-011-0762-2,,,,Some supporting information available,
Proximate Environmental Drivers Of Coral Communities At Palmyra Atoll: Establishing Baselines Prior To Removing A Wwii Military Causeway,PUBLISHED,,ASSIGNED,PARC-0073,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2011.05.002,-,"Williams, G.J., I.S. Knapp, J.E. Maragos, S.K. Davy (Accepted) Proximate environmental drivers of coral communities at Palmyra Atoll: establishing baselines prior to removing a WWII military causeway. Marine Pollution Bulletin 62:1842-1851 {PARC-0073}",2011,"Williams, Gareth J.; Knapp, Ingrid S.; Maragos, James E.; Davy, Simon K.",Marine Pollution Bulletin,10.1016/j.marpolbul.2011.05.002,,,,Library info not verified,
Fishing Indirectly Structures Macroalgal Assemblages By Altering Herbivore Behavior,PUBLISHED,,ASSIGNED,PARC-0074,UPLOADED,https://doi.org/10.1086/657039,-,"Madin, E.M.P., S.D. Gaines, J.S. Madin and R.R. Warner. 2010. Fishing indirectly structures macroalgal assemblages by altering herbivore behavior. American Naturalist 176(6): 785-801. {PARC-0074}",2010,"Madin, Elizabeth¬†M.¬†P.; Gaines, Steven¬†D.; Madin, Joshua¬†S.; Warner, Robert¬†R.",The American Naturalist,10.1086/657039,,,,-,
Evaluating The Performance Of Methods For Estimating The Abundance Of Rapidly Declining Coastal Shark Populations,PUBLISHED,,ASSIGNED,PARC-0076,UPLOADED,http://doi.wiley.com/10.1890/11-1059.1,http://doi.wiley.com/10.1890/11-1059.1,"McCauley, D.J., K.A. McLean, J. Bauer, H.S. Young, and F. Micheli 2012. Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations. Ecological Applications 22(2):385-392 {PARC-0076}",2012,"McCauley, Douglas J.; McLean, Kevin A.; Bauer, John; Young, Hillary S.; Micheli, Fiorenza",Ecological Applications,10.1890/11-1059.1,,,,Code and methods available,
Species-Specific Consequences Of Ocean Acidification For The Calcareous Tropical Green Algae Halimeda,PUBLISHED,,ASSIGNED,PARC-0077,UPLOADED,https://doi.org/10.3354/meps09309,-,"Price, N.N., S.L. Hamilton, J.S. Tootell and J.E. Smith 2011. Species-specific consequences of ocean acidification for the calcareous tropical green algae Halimeda. Marine Ecology Progress Series 440:67-78. {PARC-0077}",2011,"Price, Nn; Hamilton, Sl; Tootell, Js; Smith, Je",Marine Ecology Progress Series,10.3354/meps09309,,,,Library info not verified,
High-Frequency Dynamics Of Ocean Ph: A Multi-Ecosystem Comparison,PUBLISHED,,ASSIGNED,PARC-0079,UPLOADED,https://doi.org/10.1371/journal.pone.0028983,-,"Hoffman, G.E., J.E. Smith, K.S. Johnson, U. Send, L.A. Levin, F.Micheli, A. Paytan, N. N. Price, B. Peterson, Y. Takeshita, P.G. Matson, E.D. Crook, K.J. Kroeker, M.C. Gambi, E.B. Rivest, C.A. Feieder, P.C. Yu and T.R. Martz. 2011. High-frequency dynamics of ocean pH: a multi-ecosystem comparison. PLoS One 6(12): e28983. doi:10.1371/journal.pone.0028983 {PARC-0079}",2011,"Hofmann, Gretchen E.; Smith, Jennifer E.; Johnson, Kenneth S.; Send, Uwe; Levin, Lisa A.; Micheli, Fiorenza; Paytan, Adina; Price, Nichole N.; Peterson, Brittany; Takeshita, Yuichiro; Matson, Paul G.; Crook, Elizabeth Derse; Kroeker, Kristy J.; Gambi, Maria Cristina; Rivest, Emily B.; Frieder, Christina A.; Yu, Pauline C.; Martz, Todd R.",PLoS ONE,10.1371/journal.pone.0028983,,,,-,
Predictive Modeling Of Coral Disease Distribution Within A Reef System,PUBLISHED,,ASSIGNED,PARC-0080,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0009264,-,"Williams, G.J., G.S. Aeby, R.O.M. Cowie and S.K. Davy. (2010). Predictive modeling of coral disease distribution within a reef system. PLoS ONE 5(2): e9264. doi:10.1371/journal.pone.0009264 {PARC-0080}",2010,"Williams, Gareth J; Aeby, Greta S; Cowie, Rebecca OM; Davy, Simon K",PLoS One,10.1371/journal.pone.0009264,,,,-,
Assessing The Effects Of Large Mobile Predators On Ecosystem Connectivity,PUBLISHED,,ASSIGNED,PARC-0081,UPLOADED,http://doi.wiley.com/10.1890/11-1653.1,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/11-1653.1,"McCauley, D.J., H.S. Young, R.B. Dunbar, J.A. Estes, B.X. Semmens, and F. Micheli. (2012). Assessing the effects of large mobile predators on ecosystem connectivity. Ecological Applications 22(6):1711-1717{PARC-0081}",2012,"McCauley, Douglas J.; Young, Hillary S.; Dunbar, Robert B.; Estes, James A.; Semmens, Brice X.; Micheli, Fiorenza",Ecological Applications,10.1890/11-1653.1,,,,-,
Night Shift: Expansion Of Temporal Niche Use Following Reductions In Predator Density,PUBLISHED,,ASSIGNED,PARC-0082,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0038871,https://doi.org/doi:10.1371/journal.pone.0038871,"McCauley, D.J., E. Hoffman, H.S. Young and F. Micheli (2012). Night shift: expansion of temporal niche use following reductions in predator density. PLoS ONE 7(6): e38871. doi:10.1371/journal.pone.0038871 {PARC-0082}",2012,"McCauley, Douglas J.; Hoffmann, Eva; Young, Hillary S.; Micheli, Fiorenza",PLoS ONE,10.1371/journal.pone.0038871,,,,Some supporting information available,
Diel Variability In Seawater Ph Relates To Calcification And Benthic Community Structure On Coral Reefs,PUBLISHED,,ASSIGNED,PARC-0084,UPLOADED,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043843#s5,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043843#s5,"Price, N.N., T. Martz, R.E. Brainard and J.E. Smith. (2012). Diel variability in seawater pH relates to calcification and benthic community structure on coral reefs. PLoS One 7(8):e43843 {PARC-0084}",2012,"Price, Nichole N.; Martz, Todd R.; Brainard, Russell E.; Smith, Jennifer E.",PLoS ONE,10.1371/journal.pone.0043843,,,,PARC number originally listed without the 0,
The Palmyra Atoll Research Consortium,PUBLISHED,Fact Sheet,ASSIGNED,PARC-0085,UPLOADED,https://pubs.er.usgs.gov/publication/fs20123002,-,"Suchanek, T. 2012. The Palmyra Atoll Research Consortium. U.S. Geological Survey Fact Sheet 2012-3002, 4 p. {PARC-0085}",2012,"Suchanek, Thomas H",USGS,https://doi.org/10.3133/fs20123002 ,,,,Dryad repository location listed | PARC number originally listed without the 0,
Effects Of Spatial Subsidies And Habitat Structure On The Foraging Ecology And Size Of Geckos,PUBLISHED,,ASSIGNED,PARC-0086,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0041364,https://doi.org/doi:10.1371/journal.pone.0041364,"Briggs, A.A., H.S. Young, D.J. McCauley, S.A. Hathaway, R.Dirzo and R.N. Fisher 2012. Effects of spatial subsidies and habitat structure on the foraging ecology and size of geckos. PLoS ONE 7(8): e41364. doi:10.1371/journal.pone.0041364 {PARC-0086}",2012,"Briggs, Amy A.; Young, Hillary S.; McCauley, Douglas J.; Hathaway, Stacie A.; Dirzo, Rodolfo; Fisher, Robert N.",PLoS ONE,10.1371/journal.pone.0041364,,,,"Some data info at paper source link, raw data on AMtK GitHub",
Restriction Of Sponges To An Atoll Lagoon As A Result Of Reduced Environmental Quality,PUBLISHED,,ASSIGNED,PARC-0087,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2012.08.017,-,"Knapp, I. S.S., G.J. Williams, J.L. Carballo, J.A. Cruz-Barraza, J.P.A Gardner and J.J. Bell (2013). Environmental drivers of sponge diversity, cover and assemblage composition in the lagoons at Palmyra Atoll, Central Pacific. Marine Pollution Bulletin 66(1-2): 209-220. {PARC-0087}",2013,"Knapp, Ingrid S.S.; Williams, Gareth J.; Carballo, Jos√© Luis; Cruz-Barraza, Jos√© Antonio; Gardner, Jonathan P.A.; Bell, James J.",Marine Pollution Bulletin,10.1016/j.marpolbul.2012.08.017,,,,"Library info not verified | Previous title: Environmental drivers of sponge diversity, cover and assemblage composition in the lagoons at Palmyra Atoll, Central Pacific",
Using Stable Isotope Analyses To Assess The Foraging Habits Of Palmyra Atoll Green Turtles (Chelonia Mydas),DISSERTATION,Master Thesis,ASSIGNED,PARC-0089,UPLOADED,-,-,"Kelly, Brooke. 2012. Using stable isotope analyses to assess the foraging habits of Palmyra Atoll green turtles (Chelonia mydas). Masters Thesis, Department of Ecology, Evolution and Environmental Biology, Columbia University, 99 pgs.{PARC-0089}",2012,"Kelly, Brooke",Thesis,NA,,,,Some supporting information available,
Stable Isotopes In Turtle Epibionts As A Tool To Understand Green Turtle (Chelonia Mydas) Regional Movement Patterns,-,Mastet Thesis,ASSIGNED,PARC-0090,UPLOADED,-,-,"Detjen, M. 2012. Stable isotopes in turtle epibionts as a tool to understand green turtle (Chelonia mydas) regional movement patterns. Masters Dissertation, Department of Ecology, Evolution and Environmental Biology, Columbia University. 58 pp. {PARC-0090}",2012,"Detjen, Matthias",Thesis,NA,,,,Some supporting information available,
Consumer Preference For Seeds And Seedlings Of Rare Species Impacts Tree Diversity At Multiple Scales,PUBLISHED,,ASSIGNED,PARC-0092,UPLOADED,https://link.springer.com/article/10.1007%2Fs00442-012-2542-2#SecESM1,https://link.springer.com/article/10.1007%2Fs00442-012-2542-2#SecESM1,"Young, H.S., D.J. McCauley, R. Guevara and R. Dirzo (2013). Consumer preference for seeds and seedlings of rare species impacts tree diversity at multiple scales. Oecologia 172:857-867 {PARC-0092}",2013,"Young, Hillary S.; McCauley, Douglas J.; Guevara, Roger; Dirzo, Rodolfo",Oecologia,10.1007/s00442-012-2542-2,,,,-,
"Digenean Metacercariae Of Fishes From The Lagoon Flats Of Palmyra Atoll, Eastern Indo-Pacific",PUBLISHED,,ASSIGNED,PARC-0093,UPLOADED,https://doi.org/10.1017/S0022149X11000526,-,"Vidal-Martinez, V.M., M.L. Aguirre-Macedo, J.P. McLaughlin, R.F. Hechinger, A.G. Jaramillo, J.C. Shaw, A.K. James, A.M. Kuris and K.D. Lafferty 2012. Digenean metacercariae of fishes from the lagoon flats of Palmyra Atoll, Eastern Indo-Pacific. Journal of Helminthology 86:493-0509 {PARC-0093}",2012,"Vidal-Mart√≠nez, VM; Aguirre-Macedo, ML; McLaughlin, JP; Hechinger, RF; Jaramillo, AG; Shaw, JC; James, AK; Kuris, AM; Lafferty, Kevin D",Journal of helminthology,10.1017/S0022149X11000526,,,,-,
Wide Distributional Range Of Marine Sponges Along The Pacific Ocean,PUBLISHED,,ASSIGNED,PARC-0094,UPLOADED,https://doi.org/10.1080/17451000.2013.765581,-,"Carballo, J.L., J.A. Aguilar-Camacho, I.S.S. Knapp and J.J. Bell 2013. Wide distributional range of marine sponges along the Pacific Ocean. Marine Biology Research 9(8): 768-775 {PARC-0094}",2013,"Carballo, Jos√© Luis; Aguilar-Camacho, Jose Mar√≠a; Knapp, Ingrid S.; Bell, James J.",Marine Biology Research,10.1080/17451000.2013.765581,,,,Some supporting information available,
"Benthic Communities At Two Remote Pacific Coral Reefs: Effects Of Reef Habitat, Depth, And Wave Energy Gradients On Spatial Patterns",PUBLISHED,,ASSIGNED,PARC-0095,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/23734341,https://doi.org/10.7717/peerj.81,"Williams G.J., J.E. Smith, E.J. Conklin, J.M. Gove, E. Sala and S.A. Sandin. 2013. Benthic communities at two remote Pacific coral reefs: effects of reef habitat, depth, and wave energy gradients on spatial patterns. PeerJ 1:e81 {PARC-0095}",2013,"Williams, Gareth J; Smith, Jennifer E; Conklin, Eric J; Gove, Jamison M; Sala, Enric; Sandin, Stuart A",PeerJ,10.7717/peerj.81,,,,-,
