TITLE,PUB_STATUS,PUB_DATE,PARC_STATUS,PARC_NUMBER,LIB_STATUS,PUB_LOCATION,DATA_LINK,COMMENTS
"Digenean metacercariae of fishes from the lagoon flats of Palmyra Atoll, Eastern Indo-Pacific",PUBLISHED,1/5/2012,ASSIGNED,PARC-0093,UPLOADED,https://doi.org/10.1017/S0022149X11000526,-,-
Wide distributional range of marine sponges along the Pacific Ocean,PUBLISHED,5/14/2013,ASSIGNED,PARC-0094,UPLOADED,https://doi.org/10.1080/17451000.2013.765581,-,Some supporting information available
"Benthic communities at two remote Pacific coral reefs: effects of reef habitat, depth, and wave energy gradients on spatial patterns",PUBLISHED,5/12/2013,ASSIGNED,PARC-0095,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/23734341,https://doi.org/10.7717/peerj.81,-
Conservation at the edges of the world,PUBLISHED,5/21/2013,ASSIGNED,PARC-0096,UPLOADED,https://www.sciencedirect.com/science/article/pii/S0006320713001766?casa_token=iQV4vhQQdOIAAAAA:KbR8tOmkrfzB0-6FEMSYPYea1UMyuZmeFdICNSitKhCJOHYWzjndHi6HXfkolhbxWBWdZB5kHu68,-,Overview of conservation strategies rather than direct sampling
Contrasting recovery following removal of growth anomalies in the corals Acropora and Montipora,PUBLISHED,10/11/2013,ASSIGNED,PARC-0097,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/24113251,-,-
Ocean warming and acidification have complex interactive effects on the dynamics of a marine fungal disease,PUBLISHED,12/17/2013,ASSIGNED,PARC-0098,UPLOADED,http://dx.doi.org/10.1098/rspb.2013.3069,http://dx.doi.org/10.1098/rspb.2013.3069,-
"Predicting connectivity of green turtles at Palmyra Atoll, Central Pacific: A focus on mtDNA and dispersal modeling",PUBLISHED,1/2/2014,ASSIGNED,PARC-0099,UPLOADED,http://dx.doi.org/10.1098/rsif.2013.0888,http://dx.doi.org/10.1098/rsif.2013.0888,Some supporting information available
Distant storms as drivers of environmental change at Pacific atolls,PUBLISHED,1/31/2014,ASSIGNED,PARC-0100,UPLOADED,https://doi.org/10.1371/journal.pone.0087971,http://www.palmyraresearch.org/,Exact data link not provided
"Quantifying patterns of fish herbivory on Palmyra Atoll (USA), an uninhabited predator-dominated central Pacific coral reef",PUBLISHED,3/31/2014,ASSIGNED,PARC-0101,UPLOADED,https://doi.org/10.3354/meps10684,-,-
Differential plant damage due to litterfall in palm-dominated forest stands in a Central Pacific atoll,PUBLISHED,3/13/2014,ASSIGNED,PARC-0102,UPLOADED,http://dx.doi.org/10.1017/S026646741400008X ,-,-
"Conservation management options and actions: Putative decline of coral cover at Palmyra Atoll, Northern Line Islands, as a case study",PUBLISHED,6/2/2014,ASSIGNED,PARC-0103,UPLOADED,https://linkinghub.elsevier.com/retrieve/pii/S0025326X14002914,-,"Raw data is listed as available at palmyraresearch.org, however that URL is an invalid domain and is not linked to a website"
Reliance of mobile species on sensitive habitats: A case study of manta rays (Manta alfredi) and lagoons,PUBLISHED,6/26/2014,ASSIGNED,PARC-0104,UPLOADED,https://doi.org/10.1007/s00227-014-2478-7,-,Library info not verified
Positive and Negative Effects of a Threatened Parrotfish on Reef Ecosystems,PUBLISHED,1/11/2014,ASSIGNED,PARC-0105,UPLOADED,https://doi.org/doi:10.1111/cobi.12314,https://doi.org/doi:10.1111/cobi.12314,Some supporting information available
"New Records of Hyachelia tortugae Barnard, 1967 and H. lowryi Serejo and Sittrop, 2009 (Amphipoda: Gammaridea: Hyalidae) from Palmyra Atoll National Wildlife Refuge: Co-occurrence on Pacific Green Turtles (Chelonia mydas). American Museum Novitates. {PARC- 0106}.",PUBLISHED,7/30/2014,ASSIGNED,PARC-0106,UPLOADED,http://www.bioone.org/doi/full/10.1206/3809.1,-,-
Fishing drives declines in fish parasite diversity and has variable effects on parasite abundance,PUBLISHED,12/10/2013,ASSIGNED,PARC-0107,UPLOADED,http://doi.org/doi:10.1890/13-1270.1,http://doi.org/doi:10.1890/13-1270.1,Some supplementary info available
Potential impacts of historical disturbance on green turtle health in the unique and protected marine ecosystem of Palmyra Atoll (Central Pacific),PUBLISHED,10/23/2014,ASSIGNED,PARC-0108,UPLOADED,https://dx.doi.org/10.1016/j.marpolbul.2014.10.012,-,PARC number originally listed without the 0
Environmental and ecological controls of coral community metabolism on Palmyra Atoll,PUBLISHED,9/27/2014,ASSIGNED,PARC-0109,UPLOADED,https://doi.org/10.1007/s00338-014-1217-3,https://doi.org/10.1007/s00338-014-1217-3,Some information notes as available
"First records of the sicklefin lemon shark, Negaprion acutidens, at Palmyra Atoll, central Pacific: a recent colonization event ",PUBLISHED,9/23/2014,ASSIGNED,PARC-0110,UPLOADED,https://doi.org/doi:10.1017/S175526721400116X; e114,-,All mentioned observations have data provided in the paper itself
Benthic processes and overlying fish assemblages drive the composition of benthic detritus on a central Pacific coral reef,PUBLISHED,1/14/2013,ASSIGNED,PARC-0111,UPLOADED,https://doi.org/10.3354/meps10259,http://www.int-res.com/articles/suppl/m482p181_supp.pdf,"Library info not verified |   NOTE: 0111 did not exist, assigned to this reference (also not included) in Dec. 2019 by kdk"
Umbrella species in marine systems: using the endangered humphead wrasse to conserve coral reefs,PUBLISHED,4/29/2015,ASSIGNED,PARC-0112,UPLOADED,https://doi.org/10.3354/esr00663,http://www.int-res.com/articles/suppl/n027p251_supp.pdf,Library info not verified
Field Observations of Wave-Driven Circulation over Spur and Groove Formations on a Coral Reef,PUBLISHED,1/21/2015,ASSIGNED,PARC-0113,UPLOADED,"https://doi.org/10.1002/
2014JC010464",-,-
Coral reef benthic regimes exhibit non-linear threshold responses to natural physical drivers,PUBLISHED,3/2/2015,ASSIGNED,PARC-0114,UPLOADED,https://doi.org/10.3354/meps11118,-,-
"Drivers of Daily Routines in an Ectothermic Marine Predator: Hunt Warm, Rest Warmer?",PUBLISHED,6/10/2015,ASSIGNED,PARC-0115,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0127807,https://doi/org/10.1371/journal.pone.0127807,Raw data noted as available in supporting information files
Frictional wave dissipation on a remarkably rough reef,PUBLISHED,5/23/2015,ASSIGNED,PARC-0116,UPLOADED,https://doi.org/doi:10.1002/2015GL063804,https://doi.org/doi:10.1002/2015GL063804,Some supporting information available
Temporal dynamics and persistence of sponge assemblages in a Central Pacific atoll lagoon,PUBLISHED,6/6/2015,ASSIGNED,PARC-0117,UPLOADED,https://doi.org/doi:10.1111/maec.12303,-,Library info not verified
"Cryptic species obscure introduction pathway of the blue Caribbean sponge (Haliclona (Soestella) caerulea), (order: Haplosclerida) to Palmyra Atoll, Central Pacific",PUBLISHED,8/6/2015,ASSIGNED,PARC-0118,UPLOADED,https://doi.org/10.7717/peerj.1170,https://peerj.com/articles/1170/#supplemental-information,-
Stable isotopes in barnacles as a tool to understand green sea turtle (Chelonia mydas) regional movement patterns,PUBLISHED,12/8/2015,ASSIGNED,PARC-0119,UPLOADED,https://doi.org/doi:10.5194/bgd-12-4655-2015,http://dx.doi.org/10.5194/bg-12-7081-2015-supplement,Some supporting information available
Wave dynamics of a pacific atoll with high frictional effects,PUBLISHED,1/11/2016,ASSIGNED,PARC-0120,UPLOADED,http://dx.doi.org/10.1002/2015JC011170,http://dx.doi.org/10.1002/2015JC011170,Library info not verified
Ecology of a vulnerable shorebird across a gradient of habitat alteration: Bristle-thighed Curlews (Numenius tahitiensis) (Aves: Charadriiformes) on Palmyra Atoll,PUBLISHED,10/16/2015,ASSIGNED,PARC-0121,UPLOADED,https://doi.org/10.2984/70.2.3,http://www.Bio One.org/,Check Bio One paper site for supplemental info
Stable isotope analysis as an early monitoring tool for community-scale effects of rat eradication,PUBLISHED,3/1/2017,ASSIGNED,PARC-0122,UPLOADED,https://doi.org/10.1111/rec.12511,http://onlinelibrary.wiley.com/doi/10.1111/rec.12511/suppinfo,PARC number originally listed without the 0
Use of high-resolution acoustic cameras to study reef shark behavioral ecology,PUBLISHED,6/1/2016,ASSIGNED,PARC-0123,UPLOADED,https://linkinghub.elsevier.com/retrieve/pii/S0022098116300855,http://dx.doi.org/10.1016/j.jembe.2016.04.012,Book chapter
Thermodynamics and hydrodynamics in an atoll reef system and their influence on coral cover,PUBLISHED,6/13/2016,ASSIGNED,PARC-0124,UPLOADED,https://doi.org/ doi:10.1002/lno.10365,https://doi.org/ doi:10.1002/lno.10365,Some supporting information available
Large-area imaging reveals biologically driven non-random spatial patterns of corals at a remote reef,PUBLISHED,10/12/2017,ASSIGNED,PARC-0125,UPLOADED,https://doi.org/10.1007/s00338-017-1624-3,-,PARC number originally listed without the 0
Cascading community and ecosystem consequences of introduced palms in Pacific Islands,PUBLISHED,12/23/2016,ASSIGNED,PARC-0126,UPLOADED,https://doi.org/10.1139/cjz-2016-0107,-,
"A coupled wave-hydrodynamic model of an atoll with high friction: Mechanisms for flow, connectivity, and ecological implications",PUBLISHED,12/28/2016,ASSIGNED,PARC-0127,UPLOADED,https://www.sciencedirect.com/science/article/pii/S146350031630169X?via%3Dihub,-,-
Coral larvae change their settlement preference for crustose coralline algae dependent on availability of bare space,PUBLISHED,2/2/2018,ASSIGNED,PARC-0128,UPLOADED,https://doi.org/10.1007/s00338-018-1665-2,-,-
Activity seascapes highlight central place foraging strategies in marine predators that never stop swimming,PUBLISHED,5/28/2018,ASSIGNED,PARC-0129,UPLOADED,https://doi.org/10.1186/s40462-018-0127-3,-,Data available by request to author
Growth and life history variability of the grey reef shark (Carcharhinus amblyrhynchos) across its range,PUBLISHED,2/16/2017,ASSIGNED,PARC-0130,UPLOADED,"https://doi.org/10.1371/
journal.pone.0172370","https://doi.org/10.1371/
journal.pone.0172370",Some supporting information available
Resetting predator baselines in coral reef ecosystems,PUBLISHED,2/21/2017,ASSIGNED,PARC-0131,UPLOADED,https://doi.org/10.1038/srep43131,-,PARC number originally listed without the 0
No persistent behavioural effects of SCUBA diving on reef sharks,PUBLISHED,3/13/2017,ASSIGNED,PARC-0132,UPLOADED,https://doi.org/10.3354/meps12053,https://doi.org/10.3354/meps12053,Some supporting information available
Assessing the effectiveness of a large marine protected area for reef shark conservation,PUBLISHED,1/13/2017,ASSIGNED,PARC-0133,UPLOADED,https://linkinghub.elsevier.com/retrieve/pii/S0006320717300678 ,-,Supplemental data available through links
Predation risk influences feeding rates but competition structures space use for a common Pacific parrotfis,PUBLISHED,3/24/2017,ASSIGNED,PARC-0134,UPLOADED,https://doi.org/10.1007/s00442-017-3857-9,http://dx.doi.org/10.1007/s00442-017-3857-9,Some supporting information available
Parrotfish movement patterns vary with spatiotemporal scale,PUBLISHED,8/18/2017,ASSIGNED,PARC-0135,UPLOADED,https://doi.org/10.3354/meps12174,https://doi.org/10.3354/meps12174,Some supporting information available
Fine-scale spatial patterns of parrotfish herbivory are shaped by resource availability,PUBLISHED,8/18/2017,ASSIGNED,PARC-0136,UPLOADED,https://doi.org/10.3354/meps12258,http://www.int-res.com/articles/suppl/m577p165_supp.pdf,Some supplementary info available at provided link | PARC number originally listed without the 0
Mapping elemental contamination on Palmyra Atoll National Wildlife Refuge,PUBLISHED,12/30/2017,ASSIGNED,PARC-0137,UPLOADED,https://doi.org/10.1016/j.marpolbul.2017.12.065,https://doi.org/10.5066/F74F1P00,Some supporting information available | PARC number originally listed without the 0
Limited trophic partitioning among sympatric delphinids off a tropical oceanic atoll,PUBLISHED,8/2/2017,ASSIGNED,PARC-0138,UPLOADED,https://doi.org/10.1371/journal.pone.0181526,https://datadryad.org/stash/dataset/doi:10.5061/dryad.tg0fd,Some information available| PARC number originally listed without the 0
Spatial separation without territoriality in shark communities,PUBLISHED,11/9/2017,ASSIGNED,PARC-0139,UPLOADED,https://doi.org/doi:10.1111/oik.04289,https://doi.org/doi:10.1111/oik.04289,Library info not verified | PARC number originally listed without the 0
"Changes in benthic community composition associated with the outbreak of the corallimorph, Rhodactis howesii, at Palmyra Atoll",PUBLISHED,8/13/2019,ASSIGNED,PARC-0140,UPLOADED,https://doi.org/10.1007/s00338-019-01841-5,https://link.springer.com/article/10.1007%2Fs00338-019-01841-5#Sec2,Raw data not found | PARC number originally listed without the 0
Local extinction of the Asian tiger mosquito (Aedes albopictus) following rat eradication on Palmyra Atoll. Biology Letters.14 20170743,PUBLISHED,2/1/2018,ASSIGNED,PARC-0141,UPLOADED,https://doi.org/10.1098/rsbl.2017.0743,https://figshare.com/collections/Supplementary_material_from_Local_extinction_of_the_Asian_tiger_mosquito_i_Aedes_albopictus_i_following_rat_eradication_on_Palmyra_Atoll_/4007599,Some supporting information available | PARC number originally listed without the 0
Biophysical drivers of coral trophic depth zonation,PUBLISHED,2/9/2018,ASSIGNED,PARC-0142,UPLOADED,https://doi.org/10.1007/s00227-018-3314-2,https://doi.org/10.1007/s00227-018-3314-2,-
Mobile marine predators: an understudied source of nutrients to coral reefs in an unfished atoll,PUBLISHED,2/9/2018,ASSIGNED,PARC-0143,UPLOADED, http://dx.doi.org/10.1098/rspb.2017.2456,https://dx.doi.org/10.6084/m9.figshare.c.4007623,Some supplementary information available | PARC number originally listed without the 0
"Marine protected areas and migratory species: residency of green turtles at Palmyra Atoll, Central Pacific",PUBLISHED,10/29/2018,ASSIGNED,PARC-0144,UPLOADED, https://doi.org/10.3354/esr00922,https://www.int-res.com/abstracts/esr/v37/p165-182/,Some supplementary information available| PARC number originally listed without the 0
Herbivorous fish populations respond positively to a shipwreck removal and associated alteration of benthic habitat,PUBLISHED,4/6/2018,ASSIGNED,PARC-0145,UPLOADED,https://doi.org/10.3389/fmars.2018.00406,-,PARC number originally listed without the 0
Quantifying coconut palm extent on Pacific islands using spectral and textural analysis of very high resolution imagery,PUBLISHED,3/28/2019,ASSIGNED,PARC-0146,UPLOADED,https://doi.org/10.1080/01431161.2019.1594440,-,Library info not verified | PARC number originally listed without the 0
"Chemistry of the consumption and excretion of the bumphead parrotfish (Bolbometopon muricatum), a coral reef mega-consumer",PUBLISHED,2/24/2019,ASSIGNED,PARC-0147,UPLOADED,https://doi.org/10.1007/s00338-019-01781-0,https://link.springer.com/article/10.1007%2Fs00338-019-01781-0#Sec14,PARC number originally listed without the 0
"Limited coral mortality following acute thermal stress and widespread bleaching on Palmyra Atoll, central Pacific",PUBLISHED,3/28/2019,ASSIGNED,PARC-0148,UPLOADED, https://doi.org/10.1007/s00338-019-01796-7,https://doi.org/10.1007/s00338-019-01796-7,-
Global biogeography of coral recruitment: tropical decline and subtropical increase,PUBLISHED,7/4/2019,ASSIGNED,PARC-0149,UPLOADED,https://doi.org/10.3354/meps12980,https://www.int-res.com/abstracts/meps/v621/p1-17/,Some supplemental information available | PARC number originally listed without the 0
The influence of habitat and adults on the spatial distribution of juvenile corals,PUBLISHED,6/16/2019,ASSIGNED,PARC-0150,UPLOADED,https://doi.org/doi: 10.1111/ecog.04520,http://dx.doi.org/10.5061/dryad.xxxxx,Some supporting information available
Parasites in marine food webs,PUBLISHED,May-20,ASSIGNED,PARC-0151,UPLOADED,https://oxford.universitypressscholarship.com/view/10.1093/oso/9780198821632.001.0001/oso-9780198821632-chapter-2,-,Book Chapter | PARC number originally listed without the 0
Possible control of acute outbreaks of a marine fungal pathogen by nominally herbivorous tropical reef fish,-,-,ASSIGNED,PARC-0152,INCOMPLETE,https://doi.org/10.1007/s00442-020-04697-7,-,
Diel temperature and pH variability scale with depth across diverse coral reef habitats,-,-,ASSIGNED,PARC-0153,INCOMPLETE,https://doi.org/doi:10.1002/lol2.10129,,-
"Parasitic nematodes of marine fishes from Palmyra Atoll, East Indo-Pacific, including a new species of Spinitectus (Nematoda, Cystidicolidae). ZooKeys 892:1-26.",PUBLISHED,11/27/2019,ASSIGNED,PARC-0154,UPLOADED,https://doi.org/10.3897/zookeys.892.38447,-, PARC number originally listed without the 0
Dermal denticle assemblages in coral reef sediments correlate with conventional shark surveys,-,-,ASSIGNED,PARC-0155,INCOMPLETE,https://doi.org/10.1111/2041-210X.13346,-,
Multiyear social stability and social information in marine predators with diel fission-fusion dynamics,-,-,ASSIGNED,PARC-0156,INCOMPLETE,-,-,-
Inter and intraspecific behavioral interactions are habitat-specific amongst reef sharks,-,-,ASSIGNED,PARC-0157,INCOMPLETE,https://doi.org/10.1007/s00442-020-04676-y,-,-
Sea turtles across the North Pacific are exposed to perfluoroalkyl substances,-,-,ASSIGNED,PARC-0158,INCOMPLETE,-,-,
Impacts of rodent eradication on seed predation and plant community biomass on a tropical atoll,PUBLISHED,8/6/2020,ASSIGNED,PARC-0159,UPLOADED,https://doi.org/10.1111/btp.12864,-,-
Effects of consumer surface sterilization on diet DNA metabarcoding data of terrestrial invertebrates in natural environments and feeding trials,PUBLISHED,8/9/2021,ASSIGNED,PARC-0160,UPLOADED,https://onlinelibrary.wiley.com/doi/10.1002/ece3.7968,https://onlinelibrary.wiley.com/doi/10.1002/ece3.7968,
Predator-prey interactions of terrestrial invertebrates are determined by predator body size and species identity.,,,ASSIGNED,PARC-0161,INCOMPLETE,,,
