title,pub_status,pub_date,parc_status,parc_number,lib_status,pub_location,data_link,comments,parc_ref,publication_year,author,publication_title,doi,url,date,journal_abbreviation
"Chapter 5: Prey release, trophic cascades, and phase shifts in tropical nearshore marine ecosystems",PUBLISHED,-,ASSIGNED,PARC-0034,UPLOADED,"https://books.google.com/books?hl=en&lr=&id=tjOT8KJ6mF8C&oi=fnd&pg=PA71&dq=.+Chapter+5:+Prey+release,+trophic+cascades,+and+phase+shifts+in+tropical+nearshore+marine+ecosystems&ots=swvDdvWeEE&sig=-zK9gskUjOnPjXVb42NWvmJOgJs#v=onepage&q=Chapter%205%3A%20Prey%20release%2C%20trophic%20cascades%2C%20and%20phase%20shifts%20in%20tropical%20nearshore%20marine%20ecosystems&f=false",-,"Book: Trophic Cascades: Predators, Prey, and the Changing Dynamics of Nature","Sandin, S.A., S.M. Walsh, J.B.C. Jackson 2010. Chapter 5: Prey release, trophic cascades, and phase shifts in tropical nearshore marine ecosystems. In: J. Terborgh and J.A. Estes (Eds) Trophic Cascades: Predators, Prey, and the Changing Dynamics of Nature, Island Press, pp. 71-90. {PARC-0034}",NA,NA,NA,NA,NA,NA,NA
"Persistence of corals in marginal habitats: the role of the environment, and symbiont diversity and ecophysiology",DISSERTATION,-,ASSIGNED,PARC-0035,UPLOADED,http://researcharchive.vuw.ac.nz/handle/10063/1210,-,-,"Wicks, L.C. 2010. Persistence of corals in marginal habitats: the role of the environment, and symbiont diversity and ecophysiology. Ph.D. Dissertation, Victoria University of Wellington, 220 pp. {PARC-0035}",NA,"Wicks, Laura Caroline",NA,NA,http://researcharchive.vuw.ac.nz/handle/10063/1210,NA,NA
Cascading effects of a plant community shift across ecosystem boundaries,DISSERTATION,May-10,ASSIGNED,PARC-0036,UPLOADED,https://purl.stanford.edu/vw007np9389,-,-,"Young, H.S. 2010. Cascading effects of a plant community shift across ecosystem boundaries. Ph.D. Dissertation, Stanford University, 137 pp. {PARC-0036}",NA,NA,NA,NA,NA,NA,NA
Resource partitioning by species but not sex in sympatric boobies in the Central Pacific Ocean,PUBLISHED,3/22/2010,ASSIGNED,PARC-0037,UPLOADED,https://doi.org/10.3354/meps08478,NA,Some supporting information available,"Young, H.S., S.A. Shaffer, D.J. McCauley, D.G. Foley, R. Dirzo and B.A. Block 2010. Resource partitioning by species but not sex in sympatric boobies in the Central Pacific Ocean. Marine Ecology Progress Series 403:291-301. {PARC-0037}",NA,NA,NA,NA,NA,NA,NA
Plants cause ecosystem nutrient depletion via the interruption of bird-derived spatial subsidies,PUBLISHED,2/2/2010,ASSIGNED,PARC-0038,UPLOADED,http://www.pnas.org/cgi/doi/10.1073/pnas.0914169107,-,-,"Young, H.S., D.J. McCauley, R.B. Dunbar and R. Dirzo 2010. Plants cause ecosystem nutrient depletion via the interruption of bird-derived spatial subsidies. Proceedings of the National Academy of Sciences 107:2072-2077. {PARC-0038}",2010,"Young, Hillary S.; McCauley, Douglas J.; Dunbar, Robert B.; Dirzo, Rodolfo",Proceedings of the National Academy of Sciences,10.1073/pnas.0914169107,http://www.pnas.org/lookup/doi/10.1073/pnas.0914169107,2010-02-02,Proc Natl Acad Sci USA
Echolocation signals of a mesoplodont beaked whale at Palmyra Atoll,PUBLISHED,3/30/2010,ASSIGNED,PARC-0039,UPLOADED,https://doi.org/10.1121/1.3409478,-,-,"Baumann-Pickering, S., S.M. Wiggins, E. Roth, M.A. Roch, H.-U. Schnitzler and J.A. Hildebrand (in press). Echolocation signals of a mesoplodont beaked whale at Palmyra Atoll. Journal of the Acoustical Society of America. {PARC-0039}",NA,NA,NA,NA,NA,NA,NA
"Effect of depth on sponge assemblage structure at Palmyra Atoll, Central Pacific",PUBLISHED,1/5/2010,ASSIGNED,PARC-0040,UPLOADED,http://benthamopen.com/ABSTRACT/TOMBJ-4-26,-,-,"Knapp, I.S.S. and J.J. Bell 2010. Effect of depth on sponge assemblage structure at Palmyra Atoll, Central Pacific. The Open Marine Biology Journal 4:26-30 {PARC-0040}",NA,NA,NA,NA,NA,NA,NA
"Seabird Islands:  Ecology, Invasion and Restoration",-,-,ASSIGNED,PARC-0041,UPLOADED,-,-,Some supporting information available | PARC number originally listed without the 0,"Young, H.S., L. Hurrey, G. Kolb and W.B. Anderson 2011. Effects of seabird derived subsidies on aquatic ecosystems. In: C.P. Mulder, W.B. Anderson, D. Towns, and P. Bellingham (Eds) Seabird Islands: Ecology, Invasion and Restoration. Oxford University Press. {PARC-0041}",NA,NA,NA,NA,NA,NA,NA
Effects of seabirds on island consumers,PUBLISHED,-,ASSIGNED,PARC-0042,UPLOADED,https://doi.org10.1093/acprof:osobl/9780199735693.003.0007,-,-,"Kolb, G., H.S. Young, H. Jones, T. Fukami, J.L. Orrock, D. Towns and L. Yang 2011. Effects of seabirds on island consumers. In: C.P. Mulder, W.B. Anderson, D. Towns and P. Bellingham (Eds) Seabird Islands: Ecology, Invasion and Restoration. Oxford University Press. {PARC-0042}",2011,"Kolb, G.; Young, H.S.; Jones, H.; Fukami, T.; Orrock, J.L.; Towns, D.; Yang, L.","Seabird islands: ecology, invasion, and restoration",NA,NA,2011,NA
Impacts of seabirds on plant and soil properties,PUBLISHED,-,ASSIGNED,PARC-0043,UPLOADED,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0005,-,Chapter from a book,"Mulder, C.P.H., H. Jones, K. Kameda, C. Palmborg, S. Schmidt, J. Ellis, J. L. Orrock, A. Wait, D. A. Wardle, L. Yang, H. Young, D. Croll, and E. Vidal 2011. Impacts of seabirds on plant and soil properties. In: C.P. Mulder, W.B. Anderson, D. Towns, and P. Bellingham (Eds) Seabird Islands: Ecology, Invasion and Restoration. Oxford University Press. {PARC-0043}",2011,"Mulder, C. P. H.; Jones, H.; Kameda, K.; Palmborg, C.; Schmidt, S.; Ellis, J.; Orrock, J. L.; Wait, A.; Wardle, D. A.; Yang, L.; Young, H.; Croll, D.; Vidal, E.","Seabird islands: ecology, invasion, and restoration",NA,https://doi.org/10.1093/acprof:osobl/9780199735693.003.0005,2011,NA
Modeling patterns of coral bleaching at a remote Central Pacific atoll,PUBLISHED,6/11/2010,ASSIGNED,PARC-0044,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2010.05.009,-,-,"Williams, G.J., I.S. Knapp, J.E. Maragos and S.K. Davy 2010. Modeling patterns of coral bleaching at a remote Central Pacific atoll. Marine Pollution Bulletin 60:1467-1476. {PARC-0044}",2010,"Williams, Gareth J.; Knapp, Ingrid S.; Maragos, James E.; Davy, Simon K.",Marine Pollution Bulletin,10.1016/j.marpolbul.2010.05.009,https://linkinghub.elsevier.com/retrieve/pii/S0025326X10002109,2010-09,Marine Pollution Bulletin
"Abundance, diversity, and activity of microbial assemblages associated with coral reef fish guts and feces",PUBLISHED,3/9/2010,ASSIGNED,PARC-0045,UPLOADED,https://academic.oup.com/femsec/article-lookup/doi/10.1111/j.1574-6941.2010.00879.x,http://www.dna-surveillance.auckland.ac.nz/,"PARC number originally listed without the 0 | Previous title: Coral reef fish feces and gut associated microbial assemblages | All 16S rRNA gene sequences derived from this study
were submitted to the GenBank database. Accession numbers are FJ653927–FJ653974 for sequences derived from
A. nigricans, FJ653975–FJ654018 for C. sordidus, FJ654019–
FJ654062 for L. bohar, and FJ654063–FJ654065 for milkfish.","Smriga, S., S.A. Sandin and F. Azam 2010. Coral reef fish feces and gut associated microbial assemblages. Federation of European Microbiological Societies – FEMS Microbiology Ecology 73:31-42 {PARC-0045}",NA,NA,NA,NA,NA,NA,NA
Spatial patterns of the structure of reef fish assemblages at a pristine atoll in the central Pacific,PUBLISHED,7/14/2010,ASSIGNED,PARC-0046,UPLOADED,https://doi.org/10.3354/meps08634,-,Library info not verified,"Friedlander, A.M., S.A. Sandin, E.E. DeMartini and E. Sala 2010. Spatial patterns of the structure of reef fish assemblages at a pristine atoll in the central Pacific. Marine Ecology Progress Series 410:219-231{PARC-0046}",2010,"Friedlander, Am; Sandin, Sa; DeMartini, Ee; Sala, E",Marine Ecology Progress Series,10.3354/meps08634,http://www.int-res.com/abstracts/meps/v410/p219-231/,2010-07-14,Mar. Ecol. Prog. Ser.
Field evidence for pervasive indirect effects of fishing on prey foraging behavior,PUBLISHED,4/22/2010,ASSIGNED,PARC-0047,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/21302828,https://www.ncbi.nlm.nih.gov/pubmed/21302828,Some supplementary information available,"Madin, E.M.P., S.D. Gaines and R.R. Warner 2010. Field evidence for pervasive indirect effects of fishing on prey foraging behavior. Ecology 91(12):3563-3571 {PARC-0047}",2010,"Madin, Elizabeth MP; Gaines, Steven D; Warner, Robert R",Ecology,10.1890/09-2174.1,https://www.ncbi.nlm.nih.gov/pubmed/21302828,2010-12,NA
Uranium-series dating and growth characteristics of the deep-sea scleractinian coral: Enallopsammia rostrata from the Equatorial Pacific,PUBLISHED,1/20/2010,ASSIGNED,PARC-0048,UPLOADED,http://dx.doi.org/10.1016/j.gca.2010.01.017,-,Some supporting information available,"Houlbrèque, F., M. McCulloch, B. Roark, T. Guilderson, A. Meibom, J. Kimball, G. Mortimer, J.-P. Cuif and R. Dunbar 2010. Uranium-series dating and growth characteristics of the deep-sea scleractinian coral: Enallopsammia rostrata from the Equatorial Pacific. Geochimica et Cosmochimica Acta, 74:2380-2395 {PARC-0048}",2010,"Houlbrèque, Fanny; McCulloch, Malcolm; Roark, Brendan; Guilderson, Tom; Meibom, Anders; Kimball, Justine; Mortimer, Graham; Cuif, Jean-Pierre; Dunbar, Robert",Geochimica et Cosmochimica Acta,10.1016/j.gca.2010.01.017,https://linkinghub.elsevier.com/retrieve/pii/S0016703710000268,2010-04,Geochimica et Cosmochimica Acta
Late 20th century warming and freshening in the central tropical Pacific,PUBLISHED,11/12/2009,ASSIGNED,PARC-0049,UPLOADED,https://doi.org/doi:10.1029/2009GLO40270,-,-,"Nurhati, I.S., K.M. Cobb, C.D. Charles and R. B. Dunbar 2009. Late 20th century warming and freshening in the central tropical Pacific. Geophysical Research Letters, 36, L21606, doi: 10.1029/2009GLO40270. {PARC-0049}",2009,"Nurhati, Intan S.; Cobb, Kim M.; Charles, Christopher D.; Dunbar, Robert B.",Geophysical Research Letters,10.1029/2009GL040270,http://doi.wiley.com/10.1029/2009GL040270,2009-11-12,Geophys. Res. Lett.
Acute effects of removing large fish from a near-pristine coral reef,PUBLISHED,8/11/2010,ASSIGNED,PARC-0050,UPLOADED,http://link.springer.com/10.1007/s00227-010-1533-2,-,Supplemental data not found,"McCauley, D.J., F. Micheli, H.S. Young, D.P. Tittensor, D.R. Brumbaugh, E.M.P. Madin, K.E. Holmes, J.E. Smith, H.K. Lotze, P.A. de Salles, S.N. Arnold and B. Worm 2010. Acute effects of removing large fish from a near-pristine coral reef. Marine Biology 157:2739-2750. {PARC-0050}",2010,"McCauley, Douglas J.; Micheli, Fiorenza; Young, Hillary S.; Tittensor, Derek P.; Brumbaugh, Daniel R.; Madin, Elizabeth M. P.; Holmes, Katherine E.; Smith, Jennifer E.; Lotze, Heike K.; DeSalles, Paul A.; Arnold, Suzanne N.; Worm, Boris",Marine Biology,10.1007/s00227-010-1533-2,http://link.springer.com/10.1007/s00227-010-1533-2,2010-12,Mar Biol
Niche partitioning among and within sympatric tropical seabirds revealed by stable isotope analysis,PUBLISHED,10/14/2010,ASSIGNED,PARC-0051,UPLOADED,https://doi.org/10.3354/meps08756,-,-,"Young, H.S., D.J. McCauley, R. Dirzo, R.B. Dunbar and S.A. Shaffer 2010. Niche partitioning among and within sympatric tropical seabirds revealed by stable isotope analysis. Marine Ecology Progress Series 416:285-294 {PARC-0051}",2010,"Young, Hs; McCauley, Dj; Dirzo, R; Dunbar, Rb; Shaffer, Sa",Marine Ecology Progress Series,10.3354/meps08756,http://www.int-res.com/abstracts/meps/v416/p285-294/,2010-10-14,Mar. Ecol. Prog. Ser.
"The coconut palm, Cocos nucifera, impacts forest composition and soil characteristics at Palmya Atoll, Central Pacific Ocean",PUBLISHED,8/13/2010,ASSIGNED,PARC-0052,UPLOADED,https://doi.org/ 10.1111/j.1654-1103.2010.01219.x,https://doi.org/ 10.1111/j.1654-1103.2010.01219.x,Library info not verified,"Young, H.S., T.K. Raab, D.J. McCauley, A. Briggs and R. Dirzo 2010. The coconut palm, Cocos nucifera, impacts forest composition and soil characteristics at Palmya Atoll, Central Pacific Ocean. Journal of Vegetation Science 21:1058-1068. {PARC-0052}",NA,NA,NA,NA,NA,NA,NA
Human impacts on the species-area relationship in reef fish assemblages,PUBLISHED,5/30/2007,ASSIGNED,PARC-0053,UPLOADED,https://doi.org/10.1111/j.1461-0248.2007.01076.x,http://www.blackwell-synergy.com/doi/full/10.1111/,Some supporting information available,"Tittensor, D.P., F. Micheli, M. Nystrom, and B. Worm 2007. Human impacts on the species-area relationship in reef fish assemblages. Ecology Letters 10: 760-772. {PARC-0053)",NA,NA,NA,NA,NA,NA,NA
Biosecurity Plan for Palmyra Atoll,PUBLISHED,-,ASSIGNED,PARC-0054,UPLOADED,https://pubs.usgs.gov/of/2010/1097/,-,-,"Hathaway, S.A. and R.N. Fisher 2010. Biosecurity Plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2010-1097 {PARC-0054}",NA,"Hathaway, Stacie A; Fisher, Robert N",NA,NA,https://pubs.usgs.gov/of/2010/1097/,NA,NA
Coral disease and the environment in the Pacific Ocean,DISSERTATION,1/1/2010,ASSIGNED,PARC-0055,UPLOADED,http://researcharchive.vuw.ac.nz/handle/10063/1564,-,"Published 2010, no exact date | Contains a pdf of ""Williams, Gareth J., et al. “Modeling Patterns of Coral Bleaching at a Remote Central Pacific Atoll.” Marine Pollution Bulletin, vol. 60, no. 9, Sept. 2010, pp. 1467–76. DOI.org (Crossref), doi:10.1016/j.marpolbul.2010.05.009."", ""Williams, Gareth J., et al. “Predictive Modeling of Coral Disease Distribution within a Reef System.” PLoS One, vol. 5, no. 2, Feb. 2010, p. e9264, doi:10.1371/journal.pone.0009264. 20174663."", ""Williams, Gareth J., et al. “Gross and Microscopic Morphology of Lesions in Cnidaria from Palmyra Atoll, Central Pacific.” Journal of Invertebrate Pathology, vol. 106, no. 2, Feb. 2011, pp. 165–73. DOI.org (Crossref), doi:10.1016/j.jip.2010.08.002."", ""Aeby, Greta S., et al. “Growth Anomalies on the Coral Genera Acropora and Porites Are Strongly Associated with Host Density and Human Population Size across the Indo-Pacific.” PLoS ONE, edited by Christian Voolstra, vol. 6, no. 2, Feb. 2011, p. e16887. DOI.org (Crossref), doi:10.1371/journal.pone.0016887."", ""Williams, G. J., et al. “Coral Disease at Palmyra Atoll, a Remote Reef System in the Central Pacific.” Coral Reefs, vol. 27, no. 1, Mar. 2008, pp. 207–207. DOI.org (Crossref), doi:10.1007/s00338-007-0314-y.""","Williams, G.J. 2010. Coral disease and the environment in the Pacific Ocean. Ph.D. Dissertation, School of Biological Sciences, Victoria University of Wellington, New Zealand {PARC-0055}",NA,"Williams, Gareth John",NA,NA,http://researcharchive.vuw.ac.nz/handle/10063/1564,NA,NA
"The atmospheric lead record preserved in lagoon sediments at a remote equatorial Pacific location: Palmyra Atoll, northern Line Islands",PUBLISHED,11/20/2010,ASSIGNED,PARC-0056,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2010.11.004,-,Management report,"Collen, J.D., J.A. Baker , R.B. Dunbar, U. Rieser, J.P. Gardner, D.W. Garton and K.J. Christiansen 2011. The atmospheric lead record preserved in lagoon sediments at a remote equatorial Pacific location: Palmyra Atoll, northern Line Islands. Marine Pollution Bulletin 62:251-257 {PARC-0056}",2011,"Collen, John D.; Baker, Joel A.; Dunbar, Robert B.; Rieser, Uwe; Gardner, Jonathan P.; Garton, David W.; Christiansen, Kylie J.",Marine Pollution Bulletin,10.1016/j.marpolbul.2010.11.004,https://linkinghub.elsevier.com/retrieve/pii/S0025326X10004789,2011-02,Marine Pollution Bulletin
"Near-surface mixing and pronounced deep-water stratification in a compartmentalized, human-disturbed atoll lagoon system",PUBLISHED,12/14/2010,ASSIGNED,PARC-0057,UPLOADED,https://doi.org/10.1007/s00338-010-0701-7,-,PARC number originally listed without the 0,"Gardner J.P.A., D.W. Garton and J.D. Collen 2011. Near-surface mixing and pronounced deep-water stratification in a compartmentalized, human-disturbed atoll lagoon system. Coral Reefs 30:271-282 {PARC-0057}",NA,NA,NA,NA,NA,NA,NA
Terrestrial forest management plan for Palmyra Atoll,PUBLISHED,-,ASSIGNED,PARC-0058,UPLOADED,-,-,Library info not verified,"Hathaway, S.A., K. McEachern and R.N. Fisher 2011. Terrestrial forest management plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2011-1007 {PARC-0058}",NA,NA,NA,NA,NA,NA,NA
Pacific Coral Reefs: An Introduction,PUBLISHED,-,ASSIGNED,PARC-0059,UPLOADED,https://link.springer.com/referencework/10.1007%2F978-90-481-2639-2,-,Book,"Maragos, J.E. and G.J. Williams 2011. Pacific Coral Reefs: An Introduction, In: D. Hopley (Ed.) Encyclopedia of Modern Coral Reefs: Structure, Form and Process. Springer-Verlag {PARC-0059}",NA,NA,NA,NA,NA,NA,NA
"Spatial and temporal patterns of scleractinian coral, soft coral and zoanthid disease on a remote near-pristine coral reef",PUBLISHED,4/6/2011,ASSIGNED,PARC-0060,UPLOADED,https://doi.org/10.2112/08-1007.1,-,Library info not verified,"Williams, G.J., I.S. Knapp, G.S. Aeby and S.K. Davy (In Press) Spatial and temporal patterns of scleractinian coral, soft coral and zoanthid disease on a remote near-pristine coral reef. Diseases of Aquatic Organisms 94:89-100 {PARC-0060}",NA,NA,NA,NA,NA,NA,NA
"Gross and microscopic morphology of lesions in Cnidaria from Palmyra Atoll, Central Pacific",PUBLISHED,8/13/2010,ASSIGNED,PARC-0061,UPLOADED,http://dx.doi.org/10.1016/j.jip.2010.08.002,-,-,"Williams, G.J., T.M. Work, G.S. Aeby, I.S. Knapp and S.K. Davy 2011. Gross and microscopic morphology of lesions in Cnidaria from Palmyra Atoll, Central Pacific. Journal of Invertebrate Pathology 106:165-173 {PARC-0061}",2011,"Williams, Gareth J.; Work, Thierry M.; Aeby, Greta S.; Knapp, Ingrid S.; Davy, Simon K.",Journal of Invertebrate Pathology,10.1016/j.jip.2010.08.002,https://linkinghub.elsevier.com/retrieve/pii/S002220111000176X,2011-02,Journal of Invertebrate Pathology
Records of non-indigenous marine species at Palmyra Atoll in the U.S. Line Islands,PUBLISHED,12/21/2010,ASSIGNED,PARC-0062,UPLOADED,https://doi.org/10.1017/S1755267211000078,-,Library info not verified,"Knapp, I.S., L.S. Godwin, J.E. Smith and J.J. Bell 2011. Records of non-indigenous marine species at Palmyra Atoll in the U.S. Line Islands. Marine Biodiversity Records 4:1-7 {PARC-0062}",NA,NA,NA,NA,NA,NA,NA
Growth Anomalies on the Coral Genera Acropora and Porites Are Strongly Associated with Host Density and Human Population Size across the Indo-Pacific,PUBLISHED,2/18/2011,ASSIGNED,PARC-0063,UPLOADED,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,Data collected by authors and sourced from outside institutions/groups - supporting information accessible via plosone link,"Aeby, G.S., G.J. Williams, E.C. Franklin, J. Haapkyla, C.D. Harvell, S. Neale, C.A. Page, L. Raymundo, B. Vargas-Angel, B. Willis, T.M. Work and S.K. Davy 2011. Growth anomalies on the coral genera Acropora and Porites are strongly associated with host density and human population size across the Indo-Pacific. PLoS One 6(2):1-9 {PARC-0063}",2011,"Aeby, Greta S.; Williams, Gareth J.; Franklin, Erik C.; Haapkyla, Jessica; Harvell, C. Drew; Neale, Stephen; Page, Cathie A.; Raymundo, Laurie; Vargas-Ángel, Bernardo; Willis, Bette L.; Work, Thierry M.; Davy, Simon K.",PLoS ONE,10.1371/journal.pone.0016887,https://dx.plos.org/10.1371/journal.pone.0016887,2011-02-18,PLoS ONE
Radiocarbon and stable isotopes in Palmyra corals during the past century,PUBLISHED,3/1/2012,ASSIGNED,PARC-0064,UPLOADED,http://dx.doi.org/10.1016/j.gca.2010.11.028,-,Library info not verified,"Druffel-Rodriguez, K.C., D. Vetter, S.M. Griffin, E.R.M. Druffel, R.B. Dunbar, D.A. Mucciarone, L.A. Ziolkowski and J.A. Sanchez Cabeza. (In Press) Radiocarbon and stable isotopes in Palmyra corals during the past century. Geochimica et Cosmochimica Acta {PARC-0064}",2012,"Druffel-Rodriguez, Kevin C.; Vetter, Desiree; Griffin, Sheila; Druffel, Ellen R.M.; Dunbar, Robert B.; Mucciarone, David A.; Ziolkowski, Lori A.; Sanchez-Cabeza, Joan-Albert",Geochimica et Cosmochimica Acta,10.1016/j.gca.2010.11.028,https://linkinghub.elsevier.com/retrieve/pii/S0016703711001396,2012-04,Geochimica et Cosmochimica Acta
Decadal timescale shift in the 14C record of a central equatorial Pacific coral,PUBLISHED,7/18/2016,ASSIGNED,PARC-0065,UPLOADED,https://www.cambridge.org/core/journals/radiocarbon/article/decadal-timescale-shift-in-the-14c-record-of-a-central-equatorial-pacific-coral/731955FE06B5399EBE85E44652260162,-,-,"Grottoli, A., S.T. Gille, E.R.M. Druffel, and R.B. Dunbar 2003. Decadal timescale shift in the 14C record of a central equatorial Pacific coral. Radiocarbon 45: 11-20 {PARC-0065}",NA,NA,NA,NA,NA,NA,NA
Extreme longevity in proteinaceous deep-sea corals,PUBLISHED,3/31/2009,ASSIGNED,PARC-0066,UPLOADED,http://www.pnas.orgcgidoi10.1073pnas.0810875106%20roa/,www.pnas.org/cgi/content/full/ 0810875106/DCSupplemental,Some information available at supplementary link,"Roark, E.B., T.P. Guilderson, R.B. Dunbar, S.J. Fallon, G. Shester and D.A. Mucciarone 2008. Extreme longevity in proteinaceous deep-sea corals. Proceedings of the National Academy of Sciences of the USA 106: 5204-5208. {PARC-0066}",2009,"Roark, E. B.; Guilderson, T. P.; Dunbar, R. B.; Fallon, S. J.; Mucciarone, D. A.",Proceedings of the National Academy of Sciences,10.1073/pnas.0810875106,http://www.pnas.org/cgi/doi/10.1073/pnas.0810875106,2009-03-31,Proceedings of the National Academy of Sciences
Effects of diagenesis on paleoclimate: Reconstructions from modern and young fossil corals,PUBLISHED,8/25/2011,ASSIGNED,PARC-0067,UPLOADED,https://doi.org/10.1016/j.gca.2011.08.026,-,-,"Sayani, H.R., K.M. Cobb, A.L. Cohen, W.C. Elliott, I.S. Nurhati, R.B. Dunbar, K.A. Rose and L.K. Zaunbrecher. (In Press) Effects of diagenesis on paleoclimate: Reconstructions from modern and young fossil corals. Geochemistry, Geophysics, Geosystems {PARC-0067}",NA,NA,NA,NA,NA,NA,NA
Differential responses to guano fertilization among tropical tree species with varying functional traits,PUBLISHED,12/6/2010,ASSIGNED,PARC-0068,UPLOADED,http://doi.org/10.3732/ajb.1000159,-,-,"Young, H.S., D.J. McCauley and R. Dirzo 2011. Differential responses to guano fertilization among tropical tree species with varying functional traits. Amercan Journal of Botany 98(2):1-8 {PARC-0068}",2011,"Young, Hillary S; McCauley, Douglas J; Dirzo, Rodolfo",American journal of botany,10.3732/ajb.1000159,https://www.ncbi.nlm.nih.gov/pubmed/21613110,2011-02,NA
"Examination of algal diversity and benthic community structure at Palmyra Atoll, U.S. Line Islands",PUBLISHED,-,ASSIGNED,PARC-0069,UPLOADED,https://www.researchgate.net/publication/250306623,-,"Unconfirmed link, needs a link in Zotero as well","Braun, C.L., J.E. Smith and P.S. Vroom 2008. Examination of algal diversity and benthic community structure at Palmyra Atoll, U.S. Line Islands. Proceedings of the 11th International Coral Reef Symposium, Fort Lauderdale, FL, 7-11, 2008. {PARC-0069}",NA,NA,NA,NA,NA,NA,NA
"Arthropod surveys on Palmyra Atoll, Line Islands, and insights into the decline of the natirve tree Pisonia grandis (Nyctaginaceae)",PUBLISHED,1/7/2007,ASSIGNED,PARC-0070,UPLOADED,http://www.bioone.org/doi/abs/10.2984/1534-6188%282007%2961%5B485%3AASOPAL%5D2.0.CO%3B2,-,Need link and pdf,"Handler, A.T., D.S. Gruner, W.P. Haines, M.W. Lange and K.Y. Kaneshiro 2007. Arthropod surveys on Palmyra Atoll, Line Islands, and insights into the decline of the natirve tree Pisonia grandis (Nyctaginaceae). Pacific Science 61(4):485-502 {PARC-0070}",NA,NA,NA,NA,NA,NA,NA
Coral records of central tropical Pacific radiocarbon variability during the last millennium,PUBLISHED,6/7/2010,ASSIGNED,PARC-0071,UPLOADED,https://doi.org/doi:10.1029/2009PA001788,-,-,"Zaunbrecher, L.K., K.M. Cobb, W. Beck, C.D. Charles, E.R.M. Druffel, R.G. Fairbanks, S. Griffin and H.R. Sayani 2010. Coral records of central tropical Pacific radiocarbon variability during the last millennium. Paleoceanography 25: (PA4212, doi:10.1029/2009PA001788) (15 pgs) {PARC-0071}",NA,NA,NA,NA,NA,NA,NA
"Outbreak of Acropora white syndrome following a mild bleaching event at Palmyra Atoll, Northern Line Islands, Central Pacific",PUBLISHED,4/30/2011,ASSIGNED,PARC-0072,UPLOADED,https://doi.org/10.1007/s00338-011-0762-2,-,Some supporting information available,"Williams, G.J., I.S. Knapp, T.M. Work, E.J. Conklin (In Press) Outbreak of Acropora white syndrome following a mild bleaching event at Palmyra Atoll, Northern Line Islands, Central Pacific. Coral Reefs 30:621 {PARC-0072}",2011,"Williams, G. J.; Knapp, I. S.; Work, T. M.; Conklin, E. J.",Coral Reefs,10.1007/s00338-011-0762-2,http://link.springer.com/10.1007/s00338-011-0762-2,2011-09,Coral Reefs
Proximate environmental drivers of coral communities at Palmyra Atoll: establishing baselines prior to removing a WWII military causeway,PUBLISHED,5/31/2011,ASSIGNED,PARC-0073,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2011.05.002,-,Library info not verified,"Williams, G.J., I.S. Knapp, J.E. Maragos, S.K. Davy (Accepted) Proximate environmental drivers of coral communities at Palmyra Atoll: establishing baselines prior to removing a WWII military causeway. Marine Pollution Bulletin 62:1842-1851 {PARC-0073}",NA,NA,NA,NA,NA,NA,NA
Fishing indirectly structures macroalgal assemblages by altering herbivore behavior,PUBLISHED,10/20/2010,ASSIGNED,PARC-0074,UPLOADED,https://doi.org/10.1086/657039,-,-,"Madin, E.M.P., S.D. Gaines, J.S. Madin and R.R. Warner. 2010. Fishing indirectly structures macroalgal assemblages by altering herbivore behavior. American Naturalist 176(6): 785-801. {PARC-0074}",NA,NA,NA,NA,NA,NA,NA
"Predators, facilitators, or both?  Re-evaluating an apparent predator-prey interaction",PUBLISHED,6/9/2011,ASSIGNED,PARC-0075,UPLOADED,https://doi.org/10.3354/meps09162,-,-,"Madin, E.M.P. and J.S. Madin. 2011. Predators, facilitators, or both? Re-evaluating an apparent predator-prey interaction. Marine Ecology Progress Series 431: 299-302. {PARC-0075}",NA,NA,NA,NA,NA,NA,NA
Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations,PUBLISHED,9/9/2011,ASSIGNED,PARC-0076,UPLOADED,http://doi.wiley.com/10.1890/11-1059.1,http://doi.wiley.com/10.1890/11-1059.1,Code and methods available,"McCauley, D.J., K.A. McLean, J. Bauer, H.S. Young, and F. Micheli 2012. Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations. Ecological Applications 22(2):385-392 {PARC-0076}",2012,"McCauley, Douglas J.; McLean, Kevin A.; Bauer, John; Young, Hillary S.; Micheli, Fiorenza",Ecological Applications,10.1890/11-1059.1,http://doi.wiley.com/10.1890/11-1059.1,2012-03,Ecological Applications
