title,pub_status,pub_date,parc_status,parc_number,lib_status,pub_location,data_link,comments,reference,parc_ref,publication_year,author,publication_title,doi,url,date,journal_abbreviation
Acute Effects Of Removing Large Fish From A Near-Pristine Coral Reef,PUBLISHED,8/11/2010,ASSIGNED,PARC-0050,UPLOADED,http://link.springer.com/10.1007/s00227-010-1533-2,-,Supplemental data not found,NA,"McCauley, D.J., F. Micheli, H.S. Young, D.P. Tittensor, D.R. Brumbaugh, E.M.P. Madin, K.E. Holmes, J.E. Smith, H.K. Lotze, P.A. de Salles, S.N. Arnold and B. Worm 2010. Acute effects of removing large fish from a near-pristine coral reef. Marine Biology 157:2739-2750. {PARC-0050}",2010,"McCauley, Douglas J.; Micheli, Fiorenza; Young, Hillary S.; Tittensor, Derek P.; Brumbaugh, Daniel R.; Madin, Elizabeth M. P.; Holmes, Katherine E.; Smith, Jennifer E.; Lotze, Heike K.; DeSalles, Paul A.; Arnold, Suzanne N.; Worm, Boris",Marine Biology,10.1007/s00227-010-1533-2,http://link.springer.com/10.1007/s00227-010-1533-2,2010-12,Mar Biol
Niche Partitioning Among And Within Sympatric Tropical Seabirds Revealed By Stable Isotope Analysis,PUBLISHED,10/14/2010,ASSIGNED,PARC-0051,UPLOADED,https://doi.org/10.3354/meps08756,-,-,NA,"Young, H.S., D.J. McCauley, R. Dirzo, R.B. Dunbar and S.A. Shaffer 2010. Niche partitioning among and within sympatric tropical seabirds revealed by stable isotope analysis. Marine Ecology Progress Series 416:285-294 {PARC-0051}",2010,"Young, Hs; McCauley, Dj; Dirzo, R; Dunbar, Rb; Shaffer, Sa",Marine Ecology Progress Series,10.3354/meps08756,http://www.int-res.com/abstracts/meps/v416/p285-294/,2010-10-14,Mar. Ecol. Prog. Ser.
Biosecurity Plan For Palmyra Atoll,PUBLISHED,-,ASSIGNED,PARC-0054,UPLOADED,https://pubs.usgs.gov/of/2010/1097/,-,-,NA,"Hathaway, S.A. and R.N. Fisher 2010. Biosecurity Plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2010-1097 {PARC-0054}",NA,"Hathaway, Stacie A; Fisher, Robert N",NA,NA,https://pubs.usgs.gov/of/2010/1097/,NA,NA
Coral Disease And The Environment In The Pacific Ocean,DISSERTATION,1/1/2010,ASSIGNED,PARC-0055,UPLOADED,http://researcharchive.vuw.ac.nz/handle/10063/1564,-,"Published 2010, no exact date | Contains a pdf of ""Williams, Gareth J., et al. “Modeling Patterns of Coral Bleaching at a Remote Central Pacific Atoll.” Marine Pollution Bulletin, vol. 60, no. 9, Sept. 2010, pp. 1467–76. DOI.org (Crossref), doi:10.1016/j.marpolbul.2010.05.009."", ""Williams, Gareth J., et al. “Predictive Modeling of Coral Disease Distribution within a Reef System.” PLoS One, vol. 5, no. 2, Feb. 2010, p. e9264, doi:10.1371/journal.pone.0009264. 20174663."", ""Williams, Gareth J., et al. “Gross and Microscopic Morphology of Lesions in Cnidaria from Palmyra Atoll, Central Pacific.” Journal of Invertebrate Pathology, vol. 106, no. 2, Feb. 2011, pp. 165–73. DOI.org (Crossref), doi:10.1016/j.jip.2010.08.002."", ""Aeby, Greta S., et al. “Growth Anomalies on the Coral Genera Acropora and Porites Are Strongly Associated with Host Density and Human Population Size across the Indo-Pacific.” PLoS ONE, edited by Christian Voolstra, vol. 6, no. 2, Feb. 2011, p. e16887. DOI.org (Crossref), doi:10.1371/journal.pone.0016887."", ""Williams, G. J., et al. “Coral Disease at Palmyra Atoll, a Remote Reef System in the Central Pacific.” Coral Reefs, vol. 27, no. 1, Mar. 2008, pp. 207–207. DOI.org (Crossref), doi:10.1007/s00338-007-0314-y.""",NA,"Williams, G.J. 2010. Coral disease and the environment in the Pacific Ocean. Ph.D. Dissertation, School of Biological Sciences, Victoria University of Wellington, New Zealand {PARC-0055}",NA,"Williams, Gareth John",NA,NA,http://researcharchive.vuw.ac.nz/handle/10063/1564,NA,NA
"The Atmospheric Lead Record Preserved In Lagoon Sediments At A Remote Equatorial Pacific Location: Palmyra Atoll, Northern Line Islands",PUBLISHED,11/20/2010,ASSIGNED,PARC-0056,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2010.11.004,-,Management report,NA,"Collen, J.D., J.A. Baker , R.B. Dunbar, U. Rieser, J.P. Gardner, D.W. Garton and K.J. Christiansen 2011. The atmospheric lead record preserved in lagoon sediments at a remote equatorial Pacific location: Palmyra Atoll, northern Line Islands. Marine Pollution Bulletin 62:251-257 {PARC-0056}",2011,"Collen, John D.; Baker, Joel A.; Dunbar, Robert B.; Rieser, Uwe; Gardner, Jonathan P.; Garton, David W.; Christiansen, Kylie J.",Marine Pollution Bulletin,10.1016/j.marpolbul.2010.11.004,https://linkinghub.elsevier.com/retrieve/pii/S0025326X10004789,2011-02,Marine Pollution Bulletin
Terrestrial Forest Management Plan For Palmyra Atoll,PUBLISHED,-,ASSIGNED,PARC-0058,UPLOADED,-,-,Library info not verified,NA,"Hathaway, S.A., K. McEachern and R.N. Fisher 2011. Terrestrial forest management plan for Palmyra Atoll. Prepared for The Nature Conservancy Palmyra Program. U.S. Geological Survey, Open File Report 2011-1007 {PARC-0058}",NA,"Hathaway, Stacie A; McEachern, Kathryn; Fisher, Robert N",NA,NA,NA,NA,NA
Pacific Coral Reefs: An Introduction,PUBLISHED,-,ASSIGNED,PARC-0059,UPLOADED,https://link.springer.com/referencework/10.1007%2F978-90-481-2639-2,-,Book,NA,"Maragos, J.E. and G.J. Williams 2011. Pacific Coral Reefs: An Introduction, In: D. Hopley (Ed.) Encyclopedia of Modern Coral Reefs: Structure, Form and Process. Springer-Verlag {PARC-0059}",2011,"Maragos, James E; Williams, Gareth J","Encyclopedia of Modern Coral Reefs: Structure, Form and Process",NA,https://link.springer.com/referencework/10.1007%2F978-90-481-2639-2,2011,NA
"Gross And Microscopic Morphology Of Lesions In Cnidaria From Palmyra Atoll, Central Pacific",PUBLISHED,8/13/2010,ASSIGNED,PARC-0061,UPLOADED,http://dx.doi.org/10.1016/j.jip.2010.08.002,-,-,NA,"Williams, G.J., T.M. Work, G.S. Aeby, I.S. Knapp and S.K. Davy 2011. Gross and microscopic morphology of lesions in Cnidaria from Palmyra Atoll, Central Pacific. Journal of Invertebrate Pathology 106:165-173 {PARC-0061}",2011,"Williams, Gareth J.; Work, Thierry M.; Aeby, Greta S.; Knapp, Ingrid S.; Davy, Simon K.",Journal of Invertebrate Pathology,10.1016/j.jip.2010.08.002,https://linkinghub.elsevier.com/retrieve/pii/S002220111000176X,2011-02,Journal of Invertebrate Pathology
Growth Anomalies On The Coral Genera Acropora And Porites Are Strongly Associated With Host Density And Human Population Size Across The Indo-Pacific,PUBLISHED,2/18/2011,ASSIGNED,PARC-0063,UPLOADED,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0016887,Data collected by authors and sourced from outside institutions/groups - supporting information accessible via plosone link,NA,"Aeby, G.S., G.J. Williams, E.C. Franklin, J. Haapkyla, C.D. Harvell, S. Neale, C.A. Page, L. Raymundo, B. Vargas-Angel, B. Willis, T.M. Work and S.K. Davy 2011. Growth anomalies on the coral genera Acropora and Porites are strongly associated with host density and human population size across the Indo-Pacific. PLoS One 6(2):1-9 {PARC-0063}",2011,"Aeby, Greta S.; Williams, Gareth J.; Franklin, Erik C.; Haapkyla, Jessica; Harvell, C. Drew; Neale, Stephen; Page, Cathie A.; Raymundo, Laurie; Vargas-Ángel, Bernardo; Willis, Bette L.; Work, Thierry M.; Davy, Simon K.",PLoS ONE,10.1371/journal.pone.0016887,https://dx.plos.org/10.1371/journal.pone.0016887,2011-02-18,PLoS ONE
Radiocarbon And Stable Isotopes In Palmyra Corals During The Past Century,PUBLISHED,3/1/2012,ASSIGNED,PARC-0064,UPLOADED,http://dx.doi.org/10.1016/j.gca.2010.11.028,-,Library info not verified,NA,"Druffel-Rodriguez, K.C., D. Vetter, S.M. Griffin, E.R.M. Druffel, R.B. Dunbar, D.A. Mucciarone, L.A. Ziolkowski and J.A. Sanchez Cabeza. (In Press) Radiocarbon and stable isotopes in Palmyra corals during the past century. Geochimica et Cosmochimica Acta {PARC-0064}",2012,"Druffel-Rodriguez, Kevin C.; Vetter, Desiree; Griffin, Sheila; Druffel, Ellen R.M.; Dunbar, Robert B.; Mucciarone, David A.; Ziolkowski, Lori A.; Sanchez-Cabeza, Joan-Albert",Geochimica et Cosmochimica Acta,10.1016/j.gca.2010.11.028,https://linkinghub.elsevier.com/retrieve/pii/S0016703711001396,2012-04,Geochimica et Cosmochimica Acta
Decadal Timescale Shift In The 14c Record Of A Central Equatorial Pacific Coral,PUBLISHED,7/18/2016,ASSIGNED,PARC-0065,UPLOADED,https://www.cambridge.org/core/journals/radiocarbon/article/decadal-timescale-shift-in-the-14c-record-of-a-central-equatorial-pacific-coral/731955FE06B5399EBE85E44652260162,-,-,NA,"Grottoli, A., S.T. Gille, E.R.M. Druffel, and R.B. Dunbar 2003. Decadal timescale shift in the 14C record of a central equatorial Pacific coral. Radiocarbon 45: 11-20 {PARC-0065}",2003,"Grottoli, A G; Gille, S T; Druffel, E R M; Dunbar, R B",Radiocarbon,10.1017/S0033822200032422,https://www.cambridge.org/core/product/identifier/S0033822200032422/type/journal_article,2003,Radiocarbon
Extreme Longevity In Proteinaceous Deep-Sea Corals,PUBLISHED,3/31/2009,ASSIGNED,PARC-0066,UPLOADED,http://www.pnas.orgcgidoi10.1073pnas.0810875106%20roa/,www.pnas.org/cgi/content/full/ 0810875106/DCSupplemental,Some information available at supplementary link,NA,"Roark, E.B., T.P. Guilderson, R.B. Dunbar, S.J. Fallon, G. Shester and D.A. Mucciarone 2008. Extreme longevity in proteinaceous deep-sea corals. Proceedings of the National Academy of Sciences of the USA 106: 5204-5208. {PARC-0066}",2009,"Roark, E. B.; Guilderson, T. P.; Dunbar, R. B.; Fallon, S. J.; Mucciarone, D. A.",Proceedings of the National Academy of Sciences,10.1073/pnas.0810875106,http://www.pnas.org/cgi/doi/10.1073/pnas.0810875106,2009-03-31,Proceedings of the National Academy of Sciences
Differential Responses To Guano Fertilization Among Tropical Tree Species With Varying Functional Traits,PUBLISHED,12/6/2010,ASSIGNED,PARC-0068,UPLOADED,http://doi.org/10.3732/ajb.1000159,-,-,NA,"Young, H.S., D.J. McCauley and R. Dirzo 2011. Differential responses to guano fertilization among tropical tree species with varying functional traits. Amercan Journal of Botany 98(2):1-8 {PARC-0068}",2011,"Young, Hillary S; McCauley, Douglas J; Dirzo, Rodolfo",American journal of botany,10.3732/ajb.1000159,https://www.ncbi.nlm.nih.gov/pubmed/21613110,2011-02,NA
"Examination Of Algal Diversity And Benthic Community Structure At Palmyra Atoll, U.s. Line Islands",PUBLISHED,-,ASSIGNED,PARC-0069,UPLOADED,https://www.researchgate.net/publication/250306623,-,"Unconfirmed link, needs a link in Zotero as well",NA,"Braun, C.L., J.E. Smith and P.S. Vroom 2008. Examination of algal diversity and benthic community structure at Palmyra Atoll, U.S. Line Islands. Proceedings of the 11th International Coral Reef Symposium, Fort Lauderdale, FL, 7-11, 2008. {PARC-0069}",NA,"Braun, C L; Smith, J E; Vroom, P S",NA,NA,NA,NA,NA
"Outbreak Of Acropora White Syndrome Following A Mild Bleaching Event At Palmyra Atoll, Northern Line Islands, Central Pacific",PUBLISHED,4/30/2011,ASSIGNED,PARC-0072,UPLOADED,https://doi.org/10.1007/s00338-011-0762-2,-,Some supporting information available,NA,"Williams, G.J., I.S. Knapp, T.M. Work, E.J. Conklin (In Press) Outbreak of Acropora white syndrome following a mild bleaching event at Palmyra Atoll, Northern Line Islands, Central Pacific. Coral Reefs 30:621 {PARC-0072}",2011,"Williams, G. J.; Knapp, I. S.; Work, T. M.; Conklin, E. J.",Coral Reefs,10.1007/s00338-011-0762-2,http://link.springer.com/10.1007/s00338-011-0762-2,2011-09,Coral Reefs
Proximate Environmental Drivers Of Coral Communities At Palmyra Atoll: Establishing Baselines Prior To Removing A Wwii Military Causeway,PUBLISHED,5/31/2011,ASSIGNED,PARC-0073,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2011.05.002,-,Library info not verified,NA,"Williams, G.J., I.S. Knapp, J.E. Maragos, S.K. Davy (Accepted) Proximate environmental drivers of coral communities at Palmyra Atoll: establishing baselines prior to removing a WWII military causeway. Marine Pollution Bulletin 62:1842-1851 {PARC-0073}",2011,"Williams, Gareth J.; Knapp, Ingrid S.; Maragos, James E.; Davy, Simon K.",Marine Pollution Bulletin,10.1016/j.marpolbul.2011.05.002,https://linkinghub.elsevier.com/retrieve/pii/S0025326X11002529,2011-08,Marine Pollution Bulletin
Fishing Indirectly Structures Macroalgal Assemblages By Altering Herbivore Behavior,PUBLISHED,10/20/2010,ASSIGNED,PARC-0074,UPLOADED,https://doi.org/10.1086/657039,-,-,NA,"Madin, E.M.P., S.D. Gaines, J.S. Madin and R.R. Warner. 2010. Fishing indirectly structures macroalgal assemblages by altering herbivore behavior. American Naturalist 176(6): 785-801. {PARC-0074}",2010,"Madin, Elizabeth M. P.; Gaines, Steven D.; Madin, Joshua S.; Warner, Robert R.",The American Naturalist,10.1086/657039,https://www.journals.uchicago.edu/doi/10.1086/657039,2010-12,The American Naturalist
Evaluating The Performance Of Methods For Estimating The Abundance Of Rapidly Declining Coastal Shark Populations,PUBLISHED,9/9/2011,ASSIGNED,PARC-0076,UPLOADED,http://doi.wiley.com/10.1890/11-1059.1,http://doi.wiley.com/10.1890/11-1059.1,Code and methods available,NA,"McCauley, D.J., K.A. McLean, J. Bauer, H.S. Young, and F. Micheli 2012. Evaluating the performance of methods for estimating the abundance of rapidly declining coastal shark populations. Ecological Applications 22(2):385-392 {PARC-0076}",2012,"McCauley, Douglas J.; McLean, Kevin A.; Bauer, John; Young, Hillary S.; Micheli, Fiorenza",Ecological Applications,10.1890/11-1059.1,http://doi.wiley.com/10.1890/11-1059.1,2012-03,Ecological Applications
Species-Specific Consequences Of Ocean Acidification For The Calcareous Tropical Green Algae Halimeda,PUBLISHED,10/28/2011,ASSIGNED,PARC-0077,UPLOADED,https://doi.org/10.3354/meps09309,-,Library info not verified,NA,"Price, N.N., S.L. Hamilton, J.S. Tootell and J.E. Smith 2011. Species-specific consequences of ocean acidification for the calcareous tropical green algae Halimeda. Marine Ecology Progress Series 440:67-78. {PARC-0077}",2011,"Price, Nn; Hamilton, Sl; Tootell, Js; Smith, Je",Marine Ecology Progress Series,10.3354/meps09309,http://www.int-res.com/abstracts/meps/v440/p67-78/,2011-10-28,Mar. Ecol. Prog. Ser.
High-Frequency Dynamics Of Ocean Ph: A Multi-Ecosystem Comparison,PUBLISHED,12/19/2011,ASSIGNED,PARC-0079,UPLOADED,https://doi.org/10.1371/journal.pone.0028983,-,-,NA,"Hoffman, G.E., J.E. Smith, K.S. Johnson, U. Send, L.A. Levin, F.Micheli, A. Paytan, N. N. Price, B. Peterson, Y. Takeshita, P.G. Matson, E.D. Crook, K.J. Kroeker, M.C. Gambi, E.B. Rivest, C.A. Feieder, P.C. Yu and T.R. Martz. 2011. High-frequency dynamics of ocean pH: a multi-ecosystem comparison. PLoS One 6(12): e28983. doi:10.1371/journal.pone.0028983 {PARC-0079}",2011,"Hofmann, Gretchen E.; Smith, Jennifer E.; Johnson, Kenneth S.; Send, Uwe; Levin, Lisa A.; Micheli, Fiorenza; Paytan, Adina; Price, Nichole N.; Peterson, Brittany; Takeshita, Yuichiro; Matson, Paul G.; Crook, Elizabeth Derse; Kroeker, Kristy J.; Gambi, Maria Cristina; Rivest, Emily B.; Frieder, Christina A.; Yu, Pauline C.; Martz, Todd R.",PLoS ONE,10.1371/journal.pone.0028983,https://dx.plos.org/10.1371/journal.pone.0028983,2011-12-19,PLoS ONE
Predictive Modeling Of Coral Disease Distribution Within A Reef System,PUBLISHED,2/17/2010,ASSIGNED,PARC-0080,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0009264,-,-,NA,"Williams, G.J., G.S. Aeby, R.O.M. Cowie and S.K. Davy. (2010). Predictive modeling of coral disease distribution within a reef system. PLoS ONE 5(2): e9264. doi:10.1371/journal.pone.0009264 {PARC-0080}",2010,"Williams, Gareth J; Aeby, Greta S; Cowie, Rebecca OM; Davy, Simon K",PLoS One,10.1371/journal.pone.0009264,https://www.ncbi.nlm.nih.gov/pubmed/20174663,2010-02-17,NA
Assessing The Effects Of Large Mobile Predators On Ecosystem Connectivity,PUBLISHED,4/23/2012,ASSIGNED,PARC-0081,UPLOADED,http://doi.wiley.com/10.1890/11-1653.1,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/11-1653.1,-,NA,"McCauley, D.J., H.S. Young, R.B. Dunbar, J.A. Estes, B.X. Semmens, and F. Micheli. (2012). Assessing the effects of large mobile predators on ecosystem connectivity. Ecological Applications 22(6):1711-1717{PARC-0081}",2012,"McCauley, Douglas J.; Young, Hillary S.; Dunbar, Robert B.; Estes, James A.; Semmens, Brice X.; Micheli, Fiorenza",Ecological Applications,10.1890/11-1653.1,http://doi.wiley.com/10.1890/11-1653.1,2012-09,Ecological Applications
Night Shift: Expansion Of Temporal Niche Use Following Reductions In Predator Density,PUBLISHED,6/13/2012,ASSIGNED,PARC-0082,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0038871,https://doi.org/doi:10.1371/journal.pone.0038871,Some supporting information available,NA,"McCauley, D.J., E. Hoffman, H.S. Young and F. Micheli (2012). Night shift: expansion of temporal niche use following reductions in predator density. PLoS ONE 7(6): e38871. doi:10.1371/journal.pone.0038871 {PARC-0082}",2012,"McCauley, Douglas J.; Hoffmann, Eva; Young, Hillary S.; Micheli, Fiorenza",PLoS ONE,10.1371/journal.pone.0038871,https://dx.plos.org/10.1371/journal.pone.0038871,2012-06-13,PLoS ONE
Diel Variability In Seawater Ph Relates To Calcification And Benthic Community Structure On Coral Reefs,PUBLISHED,8/28/2012,ASSIGNED,PARC-0084,UPLOADED,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043843#s5,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0043843#s5,PARC number originally listed without the 0,NA,"Price, N.N., T. Martz, R.E. Brainard and J.E. Smith. (2012). Diel variability in seawater pH relates to calcification and benthic community structure on coral reefs. PLoS One 7(8):e43843 {PARC-0084}",2012,"Price, Nichole N.; Martz, Todd R.; Brainard, Russell E.; Smith, Jennifer E.",PLoS ONE,10.1371/journal.pone.0043843,https://dx.plos.org/10.1371/journal.pone.0043843,2012-08-28,PLoS ONE
The Palmyra Atoll Research Consortium,PUBLISHED,-,ASSIGNED,PARC-0085,UPLOADED,-,-,Dryad repository location listed | PARC number originally listed without the 0,NA,"Suchanek, T. 2012. The Palmyra Atoll Research Consortium. U.S. Geological Survey Fact Sheet 2012-3002, 4 p. {PARC-0085}",2012,"Suchanek, Thomas H",NA,NA,NA,2012,NA
Effects Of Spatial Subsidies And Habitat Structure On The Foraging Ecology And Size Of Geckos,PUBLISHED,8/10/2012,ASSIGNED,PARC-0086,UPLOADED,https://doi.org/doi:10.1371/journal.pone.0041364,https://doi.org/doi:10.1371/journal.pone.0041364,"Some data info at paper source link, raw data on AMtK GitHub",NA,"Briggs, A.A., H.S. Young, D.J. McCauley, S.A. Hathaway, R.Dirzo and R.N. Fisher 2012. Effects of spatial subsidies and habitat structure on the foraging ecology and size of geckos. PLoS ONE 7(8): e41364. doi:10.1371/journal.pone.0041364 {PARC-0086}",2012,"Briggs, Amy A.; Young, Hillary S.; McCauley, Douglas J.; Hathaway, Stacie A.; Dirzo, Rodolfo; Fisher, Robert N.",PLoS ONE,10.1371/journal.pone.0041364,https://dx.plos.org/10.1371/journal.pone.0041364,2012-08-10,PLoS ONE
Restriction Of Sponges To An Atoll Lagoon As A Result Of Reduced Environmental Quality,PUBLISHED,11/24/2012,ASSIGNED,PARC-0087,UPLOADED,http://dx.doi.org/10.1016/j.marpolbul.2012.08.017,-,"Library info not verified | Previous title: Environmental drivers of sponge diversity, cover and assemblage composition in the lagoons at Palmyra Atoll, Central Pacific",NA,"Knapp, I. S.S., G.J. Williams, J.L. Carballo, J.A. Cruz-Barraza, J.P.A Gardner and J.J. Bell (2013). Environmental drivers of sponge diversity, cover and assemblage composition in the lagoons at Palmyra Atoll, Central Pacific. Marine Pollution Bulletin 66(1-2): 209-220. {PARC-0087}",2013,"Knapp, Ingrid S.S.; Williams, Gareth J.; Carballo, José Luis; Cruz-Barraza, José Antonio; Gardner, Jonathan P.A.; Bell, James J.",Marine Pollution Bulletin,10.1016/j.marpolbul.2012.08.017,https://linkinghub.elsevier.com/retrieve/pii/S0025326X12004171,2013-01,Marine Pollution Bulletin
Using Stable Isotope Analyses To Assess The Foraging Habits Of Palmyra Atoll Green Turtles (Chelonia Mydas),DISSERTATION,-,ASSIGNED,PARC-0089,UPLOADED,-,-,Some supporting information available,NA,"Kelly, Brooke. 2012. Using stable isotope analyses to assess the foraging habits of Palmyra Atoll green turtles (Chelonia mydas). Masters Thesis, Department of Ecology, Evolution and Environmental Biology, Columbia University, 99 pgs.{PARC-0089}",2012,"Kelly, Brooke",NA,NA,NA,2012,NA
Stable Isotopes In Turtle Epibionts As A Tool To Understand Green Turtle (Chelonia Mydas) Regional Movement Patterns,-,-,ASSIGNED,PARC-0090,UPLOADED,-,-,Some supporting information available,NA,"Detjen, M. 2012. Stable isotopes in turtle epibionts as a tool to understand green turtle (Chelonia mydas) regional movement patterns. Masters Dissertation, Department of Ecology, Evolution and Environmental Biology, Columbia University. 58 pp. {PARC-0090}",2012,"Detjen, Matthias",NA,NA,NA,2012,NA
Consumer Preference For Seeds And Seedlings Of Rare Species Impacts Tree Diversity At Multiple Scales,PUBLISHED,11/16/2012,ASSIGNED,PARC-0092,UPLOADED,https://link.springer.com/article/10.1007%2Fs00442-012-2542-2#SecESM1,https://link.springer.com/article/10.1007%2Fs00442-012-2542-2#SecESM1,-,NA,"Young, H.S., D.J. McCauley, R. Guevara and R. Dirzo (2013). Consumer preference for seeds and seedlings of rare species impacts tree diversity at multiple scales. Oecologia 172:857-867 {PARC-0092}",2013,"Young, Hillary S.; McCauley, Douglas J.; Guevara, Roger; Dirzo, Rodolfo",Oecologia,10.1007/s00442-012-2542-2,http://link.springer.com/10.1007/s00442-012-2542-2,2013-07,Oecologia
"Digenean Metacercariae Of Fishes From The Lagoon Flats Of Palmyra Atoll, Eastern Indo-Pacific",PUBLISHED,1/5/2012,ASSIGNED,PARC-0093,UPLOADED,https://doi.org/10.1017/S0022149X11000526,-,-,NA,"Vidal-Martinez, V.M., M.L. Aguirre-Macedo, J.P. McLaughlin, R.F. Hechinger, A.G. Jaramillo, J.C. Shaw, A.K. James, A.M. Kuris and K.D. Lafferty 2012. Digenean metacercariae of fishes from the lagoon flats of Palmyra Atoll, Eastern Indo-Pacific. Journal of Helminthology 86:493-0509 {PARC-0093}",2012,"Vidal-Martínez, VM; Aguirre-Macedo, ML; McLaughlin, JP; Hechinger, RF; Jaramillo, AG; Shaw, JC; James, AK; Kuris, AM; Lafferty, Kevin D",Journal of helminthology,10.1017/S0022149X11000526,https://www.ncbi.nlm.nih.gov/pubmed/22217399,2012-12,NA
Wide Distributional Range Of Marine Sponges Along The Pacific Ocean,PUBLISHED,5/14/2013,ASSIGNED,PARC-0094,UPLOADED,https://doi.org/10.1080/17451000.2013.765581,-,Some supporting information available,NA,"Carballo, J.L., J.A. Aguilar-Camacho, I.S.S. Knapp and J.J. Bell 2013. Wide distributional range of marine sponges along the Pacific Ocean. Marine Biology Research 9(8): 768-775 {PARC-0094}",2013,"Carballo, José Luis; Aguilar-Camacho, Jose María; Knapp, Ingrid S.; Bell, James J.",Marine Biology Research,10.1080/17451000.2013.765581,http://www.tandfonline.com/doi/abs/10.1080/17451000.2013.765581,2013-10,Marine Biology Research
"Benthic Communities At Two Remote Pacific Coral Reefs: Effects Of Reef Habitat, Depth, And Wave Energy Gradients On Spatial Patterns",PUBLISHED,5/12/2013,ASSIGNED,PARC-0095,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/23734341,https://doi.org/10.7717/peerj.81,-,NA,"Williams G.J., J.E. Smith, E.J. Conklin, J.M. Gove, E. Sala and S.A. Sandin. 2013. Benthic communities at two remote Pacific coral reefs: effects of reef habitat, depth, and wave energy gradients on spatial patterns. PeerJ 1:e81 {PARC-0095}",2013,"Williams, Gareth J; Smith, Jennifer E; Conklin, Eric J; Gove, Jamison M; Sala, Enric; Sandin, Stuart A",PeerJ,10.7717/peerj.81,https://www.ncbi.nlm.nih.gov/pubmed/23734341,2013,NA
Conservation At The Edges Of The World,PUBLISHED,5/21/2013,ASSIGNED,PARC-0096,UPLOADED,https://www.sciencedirect.com/science/article/pii/S0006320713001766?casa_token=iQV4vhQQdOIAAAAA:KbR8tOmkrfzB0-6FEMSYPYea1UMyuZmeFdICNSitKhCJOHYWzjndHi6HXfkolhbxWBWdZB5kHu68,-,Overview of conservation strategies rather than direct sampling,NA,"McCauley, D.J., E. Power, D.W. Bird, A. McInturff, R.B. Dunbar, W.H. Durham, F. Micheli, and H.S. Young. (2013). Conservation at the edges of the world. Biological Conservation 165:139-145{PARC-0096}",2013,"McCauley, Douglas J.; Power, Eleanor A.; Bird, Douglas W.; McInturff, Alex; Dunbar, Robert B.; Durham, William H.; Micheli, Fiorenza; Young, Hillary S.",Biological Conservation,10.1016/j.biocon.2013.05.026,https://linkinghub.elsevier.com/retrieve/pii/S0006320713001766,2013-09,Biological Conservation
Contrasting Recovery Following Removal Of Growth Anomalies In The Corals Acropora And Montipora,PUBLISHED,10/11/2013,ASSIGNED,PARC-0097,UPLOADED,https://www.ncbi.nlm.nih.gov/pubmed/24113251,-,-,NA,"Williams, G.J. 2013. Contrasting recovery following removal of growth anomalies in the corals Acropora and Montipora. Diseases of Aquatic Organisms 106:181-185{PARC-0097}",2013,"Williams, Gareth J",Diseases of aquatic organisms,10.3354/dao02652,https://www.ncbi.nlm.nih.gov/pubmed/24113251,2013-10-11,NA
Ocean Warming And Acidification Have Complex Interactive Effects On The Dynamics Of A Marine Fungal Disease,PUBLISHED,12/17/2013,ASSIGNED,PARC-0098,UPLOADED,http://dx.doi.org/10.1098/rspb.2013.3069,http://dx.doi.org/10.1098/rspb.2013.3069,-,NA,"Williams, G.J. N. Price, B. Ushijima, G.A. Aeby, S. Callahan, S.K. Davy, J.M. Gove, M.D. Johnson, I.S. Knapp, A. Shore-Maggio, J.E. Smith, P. Videau, T. M. Work. 2014. Ocean warming and acidification have complex interactive effects on the dynamics of a marine fungal disease. Proceedings of the Royal Society Biological Sciences 281- 20133069 {PARC-0098}",2014,"Williams, Gareth J.; Price, Nichole N.; Ushijima, Blake; Aeby, Greta S.; Callahan, Sean; Davy, Simon K.; Gove, Jamison M.; Johnson, Maggie D.; Knapp, Ingrid S.; Shore-Maggio, Amanda; Smith, Jennifer E.; Videau, Patrick; Work, Thierry M.",Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2013.3069,https://royalsocietypublishing.org/doi/10.1098/rspb.2013.3069,2014-03-07,Proc. R. Soc. B.
Distant Storms As Drivers Of Environmental Change At Pacific Atolls,PUBLISHED,1/31/2014,ASSIGNED,PARC-0100,UPLOADED,https://doi.org/10.1371/journal.pone.0087971,http://www.palmyraresearch.org/,Exact data link not provided,NA,"Gardner JPA, Garton DW, Collen JD, Zwartz D. 2014. Distant storms as drivers of environmental change at Pacific atolls. PLoS ONE 9:e87971 {PARC-0100}",2014,"Gardner, Jonathan P. A.; Garton, David W.; Collen, John D.; Zwartz, Daniel",PLoS ONE,10.1371/journal.pone.0087971,https://dx.plos.org/10.1371/journal.pone.0087971,2014-01-31,PLoS ONE
